section_code,section,budget,allocated,withdrawn,balance,withdrawal_date,awaiting_sanctioning,period,region
524601,Southerton,Southerton-computers,194333420,0,194333420,null,0,2024,harare
524601,Southerton,Southerton-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524601,Southerton,Southerton-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524601,Southerton,Southerton-Category 2,6432000000,0,6432000000,null,0,2024,harare
524601,Southerton,Southerton-Major Distribution Maintenace Equipment,4951139360,0,4951139360,null,0,2024,harare
524601,Glen View,Glen View-T&E,409978072.1,0,409978072.1,null,109000000,2024,harare
524601,Glen View,Glen View-computer,194333420,0,194333420,null,0,2024,harare
524601,Glen View,Glen View -office &furniture equip,206105670,0,206105670,null,28000000,2024,harare
524601,Glen View,Glen View-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524601,Glen View,Glen View-Category 1,5184000000,0,5184000000,null,0,2024,harare
524601,Glen View,Glen View-Category 2,27568800000,0,27568800000,null,0,2024,harare
524601,Glen View,Glen View-Major Distribution Maintenace Equipment,4951139360,0,4951139360,null,0,2024,harare
524601,Waterfalls,Waterfalls- T&E,409978072.1,0,409978072.1,null,176000000,2024,harare
524601,Waterfalls,Waterfalls-computer,194333420,0,194333420,null,0,2024,harare
524601,Waterfalls,Waterfalls-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524601,Waterfalls,Waterfalls-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524601,Waterfalls,Waterfalls-Category 1,2016000000,0,2016000000,null,0,2024,harare
524601,Waterfalls,Waterfalls-Category 2,37906996800,0,37906996800,null,0,2024,harare
524601,Waterfalls,Waterfalls-Major Distribution Maintenace Equipment,4951139360,0,4951139360,null,0,2024,harare
524601,District Office,District Office -Motor  vehicle,240250000,0,240250000,null,0,2024,harare
524601,District Office,District Office- computers,194333420,0,194333420,null,0,2024,harare
524601,District Office,District Office -office &furniture,206105670,0,206105670,null,0,2024,harare
524701,Borrowdale,Borrowdale-T&E,409978072.1,0,409978072.1,null,0,2024,harare
524701,Borrowdale,Borrowdale-computers,194333420,0,194333420,null,0,2024,harare
524701,Borrowdale,Borrowdale-office and equipments,206105670,0,206105670,null,0,2024,harare
524701,Borrowdale,Borrowdale-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524701,Borrowdale,Borrowdale-Category 1,4162428160,0,4162428160,null,0,2024,harare
524701,Borrowdale,Borrowdale-Category 2,32463222592,0,32463222592,null,0,2024,harare
524701,Borrowdale,Borrowdale-Major Distribution Maintenace Equipment,3782776800,0,3782776800,null,0,2024,harare
524701,CBD,CBD-T&E,409978072.1,169990000,239988072.1,2024-01-17,0,2024,harare
524701,CBD,CBD-computers,194333420,0,194333420,null,0,2024,harare
524701,CBD,CBD-office and equipments,206105670,0,206105670,null,0,2024,harare
524701,CBD,CBD-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524701,CBD,CBD-Category 1,3312000000,0,3312000000,null,0,2024,harare
524701,CBD,CBD-Category 2,11052800000,0,11052800000,null,0,2024,harare
524701,CBD,CBD-Major Distribution Maintenace Equipment,3782776800,0,3782776800,null,0,2024,harare
524701,Mabvuku,Mabvuku -T&E,409978072.1,0,409978072.1,null,0,2024,harare
524701,Mabvuku,Mabvuku -computers,194333420,0,194333420,null,0,2024,harare
524701,Mabvuku,Mabvuku -office &equipment,206105670,0,206105670,null,0,2024,harare
524701,Mabvuku,Mabvuku-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524701,Mabvuku,Mabvuku-Category 1,518769600,0,518769600,null,0,2024,harare
524701,Mabvuku,Mabvuku-Category 2,13379520000,0,13379520000,null,0,2024,harare
524701,Mabvuku,Mabvuku-Major Distribution Maintenace Equipment,3782776800,0,3782776800,null,0,2024,harare
524701,Ruwa,Ruwa -T&E,409978072.1,0,409978072.1,null,0,2024,harare
524701,Ruwa,Ruwa -computers,194333420,0,194333420,null,0,2024,harare
524701,Ruwa,Ruwa -office &equipment,206105670,0,206105670,null,1500000,2024,harare
524701,Ruwa,Ruwa -motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524701,Ruwa,Ruwa -Category 1,77698277568,0,77698277568,null,0,2024,harare
524701,Ruwa,Ruwa -Category 2,32813939808,0,32813939808,null,0,2024,harare
524701,Ruwa,Ruwa -Major Distribution Maintenace Equipment,3782776800,0,3782776800,null,0,2024,harare
524701,District Office,District Office -Motor  vehicle,240250000,0,240250000,null,0,2024,harare
524701,District Office,District Office- computers,194333420,0,194333420,null,0,2024,harare
524701,District Office,District Office -office &furniture,206105670,0,206105670,null,0,2024,harare
525000,Commercial,Commercial- T&E,127548725,0,127548725,null,0,2024,harare
525000,Commercial,Commercial-computer,194333420,0,194333420,null,0,2024,harare
525000,Commercial,Commercial-office &furniture equip,206105670,0,206105670,null,27000000,2024,harare
525000,Commercial,Commercial-motor vehicles,720750000,0,720750000,null,0,2024,harare
526001,Risk,Risk-computer,194333420,14999999.99,179333420,2024-01-17,5000000,2024,harare
526001,Risk,Risk-office &furniture equip,206105670,0,206105670,null,0,2024,harare
526001,Risk,Risk-motor vehicles,480500000,0,480500000,null,0,2024,harare
526001,Risk,Risk-Category 3,17600000000,0,17600000000,2024-01-15,0,2024,harare
527001,IT,IT- T&E,127548725,0,127548725,null,0,2024,harare
527001,IT,IT-computer,194333420,0,194333420,null,0,2024,harare
527001,IT,IT-office &furniture equip,206105670,0,206105670,null,0,2024,harare
527001,IT,IT-motor vehicles,480500000,0,480500000,null,0,2024,harare
