"ace","id","section_code","status_1","status_2","status_3","status_4","status_5","order_status","update_user1","update_user2","update_user3","update_user4","update_user5","checked1_by","update_date2","update_date3","update_date4","checked1_date","reason_1","reason_2","reason_3","reason_4","rfq_status","budget_location"
"ACE21122958","311","524604","1","2","0","0","0","0","ze269719","ze336041",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21123173","312","524504","1","2","0","0","0","0","ze310077","ze276111",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","524501"
"ACE21123151","313","524504","1","2","0","0","0","0","ze310077","ze276111",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22012458","314","523001","1","2","3","4","5","0","ze296538","ze309702","ze239429","ze301736","ze043110",,"2022-01-28 11:09:02","2022-02-02 09:25:10","2022-02-04 03:44:41","0000-00-00 00:00:00",,,,,"0","523001"
"ACE22012446","315","523001","1","2","3","4","5","0","ze296538","ze309702","ze239429","ze301736","ze043110",,"2022-02-03 11:08:41","2022-02-03 01:07:40","2022-02-04 03:44:24","0000-00-00 00:00:00",,,,,"1","523001"
"ACE2201241","316","523001","1","2","3","4","5","0","ze296538","ze309702","ze239429","ze301736","ze043110",,"2022-02-03 10:58:51","2022-02-03 01:07:27","2022-02-04 03:43:56","0000-00-00 00:00:00",,,,,"1","523001"
"ACE22012484","317","523001","1","2","3","4","5","0","ze296538","ze309702","ze239429","ze301736","ze043110",,"2022-01-28 10:47:53","2022-01-28 03:58:45","2022-01-28 04:49:28","0000-00-00 00:00:00",,,,,"1","523001"
"ACE22012586","318","524001","1","2","3","4","5","0","ze301744","ze277479","ze239429","ze301736","ze043110",,"2022-01-28 02:39:58","2022-01-28 04:01:59","2022-01-28 04:50:37","0000-00-00 00:00:00",,,,,"1","524001"
"ACE2201258","319","524101","1","2","3","3","0","0","ze237485","ze332259","ze239429","ze301736",,,"2022-01-28 10:53:38","2022-01-28 03:42:44","0000-00-00 00:00:00","0000-00-00 00:00:00",,,"Please scan and attach completed ACE with explanatory notes for justification of purchase and detailed specification. eg does everyone know what items are contained in basic tool box?",,"0","524101"
"ACE22012521","320","524101","1","2","3","3","0","0","ze237485","ze332259","ze239429","ze301736",,,"2022-01-28 10:29:49","2022-01-28 03:29:17","0000-00-00 00:00:00","0000-00-00 00:00:00",,,"Please scan and attach completed ACE with explanatory notes for justification of purchase and specification of items to be purchased",,"0","524101"
"ACE22012543","321","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 10:20:58","2022-01-28 03:25:11","2022-01-28 04:48:59","0000-00-00 00:00:00",,,,,"0","524301"
"ACE2201252","322","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 10:18:06","2022-01-28 03:23:49","2022-01-28 04:50:51","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012587","323","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 10:14:24","2022-01-28 03:22:33","2022-01-28 04:51:01","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012578","324","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 10:11:26","2022-01-28 03:55:51","2022-01-28 04:51:10","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012576","325","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 10:06:37","2022-01-28 04:02:37","2022-01-28 04:52:06","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012532","326","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 10:03:10","2022-01-28 04:03:03","2022-01-28 04:51:55","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012512","327","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 09:57:23","2022-01-28 04:03:43","2022-01-28 04:51:45","0000-00-00 00:00:00",,,,,"0","524301"
"ACE2201259","328","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 09:54:30","2022-01-28 04:04:20","2022-01-28 04:51:35","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012575","329","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 09:50:50","2022-01-28 04:04:40","2022-01-28 04:51:23","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22012555","330","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 09:47:31","2022-01-28 04:05:04","2022-01-28 04:49:09","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012529","331","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 09:43:08","2022-01-28 04:05:26","2022-01-28 04:48:34","0000-00-00 00:00:00",,,,,"0","524301"
"ACE22012537","332","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-01-28 09:35:40","2022-01-28 04:06:55","2022-01-28 04:48:18","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22012591","333","524501","1","1","0","0","0","0","ze321761","ze267562",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Purchase Desktop",,,,"0","524501"
"ACE22012599","334","524501","1","1","0","0","0","0","ze321761","ze267562",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Purchase desktop",,,,"0","524501"
"ACE2201273","335","524502","1","2","3","4","5","0","ze297968","ze267562","ze42366","ze301736","ze043110",,"2022-02-07 01:07:10","2022-02-07 02:38:36","2022-02-11 04:16:24","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22012845","336","524504","1","2","3","4","5","0","ze242594","ze267562","ze42366","ze301736","ze043110",,"2022-02-07 01:01:46","2022-02-07 02:38:15","2022-02-11 04:16:11","0000-00-00 00:00:00",,,,,"1","524501"
"ACE22012896","337","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong explanatory note",,,,"0","524601"
"ACE22012873","338","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong explanatory note",,,,"0","524601"
"ACE22012849","339","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong explanatory note",,,,"0","524601"
"ACE22012863","340","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong explanatory note",,,,"0","524601"
"ACE22012889","341","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong explanatory note",,,,"0","524601"
"ACE22012856","342","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong explanatory note",,,,"0","524601"
"ACE22013169","343","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2022-02-14 12:34:00","2022-02-14 12:53:29","2022-02-14 03:51:56","0000-00-00 00:00:00",,,,,"0","524601"
"ACE22013199","344","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2022-02-14 12:12:39","2022-02-14 12:53:18","2022-02-14 03:51:41","0000-00-00 00:00:00",,,,,"0","524601"
"ACE22013165","345","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2022-02-14 12:40:37","2022-02-14 12:53:07","2022-02-14 03:51:23","0000-00-00 00:00:00",,,,,"0","524601"
"ACE22013157","346","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2022-02-14 12:31:34","2022-02-14 12:52:44","2022-02-14 03:51:10","0000-00-00 00:00:00",,,,,"0","524601"
"ACE22013177","347","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2022-02-14 12:06:29","2022-02-14 12:52:27","2022-02-14 03:50:52","0000-00-00 00:00:00",,,,,"0","524601"
"ACE22013188","348","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2022-02-14 11:58:54","2022-02-14 11:59:38","2022-02-14 03:50:36","0000-00-00 00:00:00",,,,,"0","524601"
"ACE22013125","349","525000","1","2","3","4","5","0","ZE228346","ze325650","ze239429","ze301736","ze043110",,"2022-02-18 11:35:40","2022-02-18 03:16:53","2022-02-22 04:39:04","0000-00-00 00:00:00",,,,,"0","525000"
"ACE22020285","350","522001","1","2","3","4","5","0","ze232300","ze301736","ze239429","ze301736","ze043110",,"2022-02-03 09:56:16","2022-02-03 01:03:41","2022-02-04 03:43:37","0000-00-00 00:00:00",,,,,"1","522001"
"ACE22020241","351","524101","1","2","3","4","5","0","ze237485","ze332259","ze239429","ze301736","ze043110",,"2022-02-03 10:32:14","2022-02-03 01:03:20","2022-02-04 03:43:04","0000-00-00 00:00:00",,,,,"1","524101"
"ACE22020247","352","524101","1","2","3","4","5","0","ze237485","ze332259","ze239429","ze301736","ze043110",,"2022-02-03 10:20:57","2022-02-03 01:03:02","2022-02-04 03:42:33","0000-00-00 00:00:00",,,,,"1","524101"
"ACE22020240","353","523001","1","2","2","0","0","0","ze347558","ze309702","ze46035",,,,"2022-02-09 09:20:51","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,"Description on the top part of the ACE asset being bought is not tallying up with notes at the bottom of the ACE ",,,"0","523001"
"ACE22020265","354","524501","1","1","0","0","0","0","ze225282","ze267562",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong user  section",,,,"0","524501"
"ACE22020214","355","523001","1","2","3","3","0","0","ze237248","ze309702","ze239429","ze301736",,,"2022-02-03 11:39:36","2022-02-07 03:06:15","0000-00-00 00:00:00","0000-00-00 00:00:00",,,"NO ACE VALUE AND USER REQUESTED FOR REJECTION REF CONVERSATION WITH B. CHIWETU 07/02/2022",,"0","523001"
"ACE22020481","356","523001","1","1","0","0","0","0","ze347558","ze309702",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","The amount is outside procurement threshhold",,,,"0","523001"
"ACE22020480","357","524601","1","2","3","4","5","0","ze53821","ze272264","ze321419","ze301736","ze043110",,"2022-03-02 01:12:15","2022-03-02 03:09:08","2022-03-03 10:44:46","0000-00-00 00:00:00",,,,,"0","524601"
"ACE2202077","358","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 10:08:57","2022-02-10 01:21:38","2022-02-11 04:15:54","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22020716","359","523001","1","2","2","0","0","0","ze347558","ze309702","ze239429",,,,"2022-02-09 11:04:33","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,"No ACE is attached",,,"0","523001"
"ACE22020736","360","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 10:09:31","2022-02-10 01:21:05","2022-02-11 04:15:42","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22020794","361","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 10:01:24","2022-02-10 01:20:20","2022-02-11 04:14:40","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22020764","362","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 09:59:56","2022-02-10 01:20:04","2022-02-11 04:15:28","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22020719","363","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 09:55:07","2022-02-10 01:19:45","2022-02-11 04:15:15","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22020750","364","523001","1","2","2","0","0","0","ze347558","ze309702","ze239429",,,,"2022-02-09 11:04:02","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,"No ACE is attached",,,"0","523001"
"ACE22020784","365","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 09:50:17","2022-02-10 01:19:02","2022-02-11 04:15:02","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22020744","366","524301","1","2","3","4","5","0","ze259101","ze299871","ze239429","ze301736","ze043110",,"2022-02-18 11:28:20","2022-02-18 03:16:23","2022-02-22 04:38:44","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22020827","370","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020871","371","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020826","372","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020855","373","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Edit the ACE as discussed",,,,"0","524601"
"ACE2202085","374","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020868","375","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020859","376","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020890","377","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE2202081","378","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020846","379","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020841","380","524601","1","1","0","0","0","0","ze53821","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","ACES have been duplicated",,,,"0","524601"
"ACE22020815","381","524401","1","2","3","4","5","0","ze38466","ze276111","ze232459","ze301736","ze043110",,"2022-02-18 12:55:31","2022-02-18 03:16:08","2022-02-22 04:38:26","0000-00-00 00:00:00",,,,,"0","524401"
"ACE22020970","386","523001","1","2","3","4","5","0","ze347558","ze309702","ze239429","ze301736","ze043110",,"2022-02-10 03:01:40","2022-02-14 11:59:24","2022-02-14 03:49:44","0000-00-00 00:00:00",,,,,"1","523001"
"ACE2202092","387","523001","1","2","3","4","5","0","ze347558","ze309702","ze239429","ze301736","ze043110",,"2022-02-10 03:10:57","2022-02-14 11:58:55","2022-02-14 03:49:15","0000-00-00 00:00:00",,,,,"1","523001"
"ACE2202097","388","523001","1","2","3","4","5","0","ze347558","ze309702","ze239429","ze301736","ze043110",,"2022-02-10 02:50:05","2022-02-14 11:58:44","2022-02-14 03:48:11","0000-00-00 00:00:00",,,,,"1","523001"
"ACE22020946","389","522001","1","2","3","4","5","0","ze229105","ze301736","ze239429","ze301736","ze043110",,"2022-02-10 02:42:54","2022-02-14 11:58:28","2022-02-14 03:47:35","0000-00-00 00:00:00",,,,,"0","522001"
"ACE22020922","390","523001","1","2","3","4","5","0","ze296538","ze309702","ze239429","ze301736","ze043110",,"2022-02-10 02:35:24","2022-02-10 02:46:32","2022-02-11 04:14:06","0000-00-00 00:00:00",,,,,"1","523001"
"ACE22021082","391","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 10:13:15","2022-02-10 01:18:06","2022-02-11 04:14:50","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22021090","392","524501","1","2","3","4","5","0","ze225282","ze254304","ze42366","ze301736","ze043110",,"2022-02-10 10:12:59","2022-02-10 01:17:49","2022-02-11 04:13:32","0000-00-00 00:00:00",,,,,"0","524501"
"ACE22021051","393","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-02-18 11:14:22","2022-02-18 03:15:49","2022-02-22 04:38:02","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22021028","394","524301","1","2","2","0","0","0","ze3522741","ze299871","ze239429",,,,"2022-02-18 11:15:51","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,"Duplication",,,"0","524301"
"ACE2202105","395","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-02-18 11:09:13","2022-02-18 03:15:34","2022-02-22 04:37:47","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22021046","396","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-02-18 11:05:55","2022-02-18 03:14:31","2022-02-22 04:37:35","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22021095","397","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-02-18 11:04:09","2022-02-18 03:13:58","2022-02-22 04:37:11","0000-00-00 00:00:00",,,,,"1","524301"
"ACE22021060","398","524301","1","2","3","4","5","0","ze3522741","ze299871","ze239429","ze301736","ze043110",,"2022-02-18 11:00:17","2022-02-18 03:13:25","2022-02-22 04:36:56","0000-00-00 00:00:00",,,,,"1","524301"
