"adjid","item1","quantity1","supplier1","item1_unitprice","item1_total","supplier1_quotation_date","supplier1_quotation","supplier2","supplier2_unitprice1","supplier2_total1","supplier2_quotation_date","supplier2_quotation","supplier3","supplier3_unitprice1","supplier3_total1","supplier3_quotation_date","supplier3_quotation","description","specifications","award1","pr_number","date_created","section_code","remarks","direct_purchase1","direct_purchase2","direct_purchase3","direct_purchase4","direct_purchase5","direct_purchase6","direct_purchase7","direct_purchase8","direct_purchase9","direct_purchase10","service_type","ace","ace_spec","proc_ref","region"
"D21112623","Orange pulp minute maid","24","Pick and Pay","104.99","2519.76","2021-11-26","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Tea and refreshments provisions ","specs/","Pick and Pay","10221701","2021-11-26 10:38:49","524401",,"direct_purchases/TM provisions.pdf",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D21112957","ASSORTED SOFT DRINKS 330ML CASE","55","DELTA BEVERAGES","1840.00","101200.00","2021-11-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," SOFT DRINKS FOR LONG SERVICE FUNCTION NUMBER SIX AND EIGHT FOR 20/21","specs/","DELTA BEVERAGES","10221310","2021-11-29 08:11:09","524401",,"direct_purchases/DELTA  BEVERAGES-SOFT DRINKS.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21112992","ASSORTED BEERS FOR LONG SERVICE FUNCTION","55","DELTA BEVERAGES","2847.00","156585.00","2021-11-29","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," ASSORTED BEERS FOR LONG SERVICE FUNCTION NUMBER SIX & EIGHT FOR 20/21
","specs/","DELTA BEVERAGES","10221738","2021-11-29 08:18:08","524401",,"direct_purchases/DELTA- BEERS.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D2112016","B/Pens Technic Black","50","First Pack","39.01","1950.50","2021-12-01","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Procurement Office Stationery","specs/","First Pack","10221407","2021-12-01 07:36:39","524401",,"direct_purchases/STATIONERY OCT 2021.xlsx",,,,,,,,,,"Direct Purchase",,,"acc466605","harare"
"D21121023","WRAPS, REGULAR CHIPS & DELTA CANS","28","MAMBOS CHICKEN","1400.00","39200.00","2021-12-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," LUNCH MEALS FOR FIRST AID TRAINING GROUP 1 DAY 2","specs/","MAMBOS CHICKEN","10222308","2021-12-10 06:51:23","523001",,"direct_purchases/1639119083PRAZ MAMBOS CHICKEN.pdf",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D21121026","Queen Meals and Delta Drinks","15","Mambos Chicken","800.00","12000.00","2021-12-08","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," To supply lunch for training for IT Staff","specs/","Mambos Chicken","PR10222347","2021-12-10 08:59:28","523001",,"direct_purchases/Scan0006 Mambos 8 December.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
"D21121029","QUEEN MEALS & DELTA CANS","30","MAMBOS CHICKEN","1000.00","30000.00","2021-12-08","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," LUNCH MEALS FOR FIRST AID TRAINING- GROUP 1 DAY 3","specs/","MAMBOS CHICKEN","10222309","2021-12-10 06:44:53","523001",,"direct_purchases/PRAZ MAMBOS CHICKEN.pdf",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D21121060","Snacks and mocktails","200","Golden Conifer","800.00","160000.00","2021-12-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Supply snacks and mocktails for Long service Awards","specs/","Golden Conifer","10222350","2021-12-10 08:54:54","523001",,"direct_purchases/Scan000 Golden Conifer snacks.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21121080","QUEEN MEALS & DELTA CANS","35","MAMBOS CHICKEN","1000.00","30000.00","2021-12-09","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," LUNCH MEALS FOR FIRST AID TRAINING GROUP 1 DAY 4","specs/","MAMBOS CHICKEN","10222315","2021-12-10 06:48:29","523001",,"direct_purchases/1639118909PRAZ MAMBOS CHICKEN.pdf",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D2112109","1/4 chicken and chips plus drink","15","Mambos Chicken","1200.00","18000.00","2021-12-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," To purchase lunch for training for IT Staff","specs/","Mambos Chicken","10222345","2021-12-10 09:34:11","523001",,"direct_purchases/Scan0001 Mambos 9 December.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
"D21122319","FACE MASKS (BOXES)","26","TOPCARE PHARMACY","600.00","15600.00","2021-12-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," COVID PROVISIONS FOR COVID 19 CASES- REF ORDER 4500222879","specs/","TOPCARE PHARMACY","10222526","2021-12-23 07:52:00","523001",,"direct_purchases/1640245920certificate (3).pdf","direct_purchases/1640245920scan0031.pdf","direct_purchases/1640245920TAX CLEARANCE (1).pdf",,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D2112234","fit cluster & calibrate for isuzu kb250","1","High  Profile Motors","172840.00","172840.00","2021-12-16",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"supply & fit cluster & calibrate isuzu kb250 d hr5074 aba 8352",,"High  Profile Motors","10218767","2021-12-23 08:43:16","524202",,"direct_purchases/IMG_20211223_102938_335.jpg",,,,,,,,,,"Direct Purchase",,,"acc466607","harare"
"D21122343","top over for isuzu kb240","1","High  Profile Motors","260000.00","260000.00","2021-12-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," carry out top overhaul  isuzu kb240 hr5243 adl 3498  (chit)","specs/","High  Profile Motors","10222528","2021-12-23 08:25:37","524202",,"direct_purchases/IMG_20211223_094419_645.jpg",,,,,,,,,,"Direct Purchase",,,"acc466607","harare"
"D21122351","LATEX GLOVES (BOXES)","3","TOPCARE PHARMACY","3000.00","9000.00","2021-12-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," COVID PROVISIONS FOR COVID PATIENTS","specs/","TOPCARE PHARMACY","10222595","2021-12-23 07:39:42","523001",,"direct_purchases/certificate (3).pdf","direct_purchases/scan0031.pdf","direct_purchases/TAX CLEARANCE (1).pdf",,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D21122948","refuse collection","1","clean city","8559.75","8559.75","2021-12-29","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," general waste collection at Wynne street ","specs/","clean city","10222779","2021-12-29 09:20:14","523001",,"direct_purchases/1640769614scan0002.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D21122956","daily news ","5","Daily news","79475.98","397379.90","2021-12-29","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Daily news for rmt 3 months subs","specs/","Daily news","10222661","2021-12-29 09:16:17","523001",,"direct_purchases/scan0002.pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D21123011","Rent ","1","Guest and Tanner","2499410.00","2499410.00","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent Ruwa Depot","specs/","Guest and Tanner","10222811","2021-12-30 07:43:20","523001",,"direct_purchases/scan0008.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D21123013","Rent ","1","Crusader","125000.00","125000.00","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Tachiona Network Development Engineer","specs/","Crusader","10222806","2021-12-30 07:47:03","523001",,"direct_purchases/scan0006.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D21123025","Rent ","1","Stohill","108000.00","108000.00","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Hwami Kuwadzana Depot","specs/","Stohill","10222807","2021-12-30 07:45:01","523001",,"direct_purchases/scan0007.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D21123032","Rent ","1","Guest and Tanner","543300.00","543300.00","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent to Guest and tanner Mbavarira","specs/","Guest and Tanner","10222810","2021-12-30 07:34:15","523001",,"direct_purchases/scan0013.pdf",,,,,,,,,,"Direct Purchase",,,"acc474015","harare"
"D2112305","Rent ","1","Sandevan","55664.25","55664.25","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Makove E Warren park depot","specs/","Sandevan","10222815","2021-12-30 07:36:36","523001",,"direct_purchases/scan0011.pdf",,,,,,,,,,"Direct Purchase",,,"acc474015","harare"
"D21123062","Rent ","1","Rodbel","45000.00","45000.00","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent Maindidze Waterfall depot","specs/","Rodbel","10222813","2021-12-30 07:41:39","523001",,"direct_purchases/scan0009.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D21123065","Rent ","1","JJ maintenance","721500.00","721500.00","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Mwale Glen view depot","specs/","JJ maintenance","10222808","2021-12-30 07:52:16","523001",,"direct_purchases/scan0005.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D21123087","Adsl bundle","1","Telone","21484.74","21484.74","2021-12-30","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Adsl bundle","specs/","Telone","10222780","2021-12-30 07:39:59","523001",,"direct_purchases/scan0010.pdf",,,,,,,,,,"Direct Purchase",,,"acc473330","harare"
"D21123192","Initial Consultation for Deliwe Museba","1","Pioneering Health Group-DR Ncube","16000.00","16000.00","2021-12-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Consultation for Deliwe Museba","specs/","Pioneering Health Group-DR Ncube","10222879","2021-12-31 07:22:18","523001",,"direct_purchases/scan (3).pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22010692","Dstv ","1","MULTICHOICE","2268000.00","2268000.00","2022-01-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," satelite dish fix and supply for GM,EM & GM SEC","specs/","MULTICHOICE","10223222","2022-01-06 15:04:30","523001",,"direct_purchases/1641481470scan0013.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D22011056","Dstv ","1","MULTICHOICE","22680.00","22680.00","2022-01-10","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Dstv decorder and accessories for GM,EM and GM Sec","specs/","MULTICHOICE","10223222","2022-01-10 10:31:57","523001",,"direct_purchases/1641810717scan0013.pdf",,,,,,,,,,"Direct Purchase",,,"acc473750","harare"
"D22011110","Table cloths for function room","36","National Carpets and Curtains","3500.00","126000.00","2021-02-11","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Supply and sew of 36 table cloths","specs/","National Carpets and Curtains","10223319","2022-01-11 06:45:43","523001",,"direct_purchases/National Carpets.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D22011122","Fit cluster and calibrate","1","High-Profile","172840.00","172840.00","2022-01-11","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/","Fit cluster and calibrate for Isuzu KB250 F/n Hr 5074 Reg no ABA 8352.(AutoWorld) have nothing in Stock)  
 

","specs/","High-Profile","10218767","2022-01-11 10:23:02","524202",,"direct_purchases/cluster.jpg",,,,,,,,,,"Direct Purchase",,,"acc473930","harare"
"D22011143","Top overhaul","1","High-Profile","260000.00","260000.00","2022-01-11",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"Carry out top overhaul on Isuzu KB240 F/n Hr 5243 Reg NO adl 3498 for  Seke depot ((autoworld have nothing in stock)",,"High-Profile","10222528","2022-01-11 10:36:01","524202",,"direct_purchases/1641897361IMG_20211223_094419_645.jpg",,,,,,,,,,"Direct Purchase",,,"acc473930","harare"
"D22011294","CLUTCH SERVO","1","AM Bus and Truck Accessories","23674.20","23674.20","2022-01-12",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"Clutch servo for Daf AVM CRANE F/n 2604

(FROM SOLE SUPPLIER)",,"AM Bus and Truck Accessories","10223373","2022-01-12 13:08:46","524202",,"direct_purchases/clutch servo.jpg",,,,,,,,,,"Direct Purchase",,,"acc466607","harare"
"D22011452","Rent ","1","higher dimension","60000.00","60000.00","2022-01-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Njenda Southerton depot","specs/","higher dimension","10222812","2022-01-14 08:01:23","523001",,"direct_purchases/scan0017.pdf",,,,,,,,,,"Direct Purchase",,,"acc474015","harare"
"D22011474","Rent ","1","Zoomway","60000.00","60000.00","2022-01-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Satande depot foreman borrowdale","specs/","Zoomway","10222809","2022-01-14 07:59:51","523001",,"direct_purchases/scan0018.pdf",,,,,,,,,,"Direct Purchase",,,"acc474015","harare"
"D2201149","carry out service","1","Powerstar Zim(IEG)","467504.45","467504.45","2022-01-14",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"Carry out service on Crane F/n Hr 5284 Powerstar as per quotation numbered Job01056 dated 12/01/2022
(crane truck on warranty)",,"Powerstar Zim(IEG)","10223645","2022-01-14 05:41:58","524202",,"direct_purchases/Fw ZETDC Harare Service and repairs quotation.msg",,,,,,,,,,"Direct Purchase",,,"acc466607","harare"
"D22011944","COVID 19 PCR TESTS (THIRD YEAR APPYS)","10","LORDSLAND MEDICAL LABORATORIES","6000.00","60000.00","2022-01-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," COVID TESTS FOR THIRD YEAR APPYS","specs/","LORDSLAND MEDICAL LABORATORIES","10223933","2022-01-19 08:47:38","523001",,"direct_purchases/ZETDC HARARE QUOTATION FOR PCR TESTS.pdf","direct_purchases/scancovid.pdf",,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22011958","Review Consultation for C. Mbovora (Injured on dut","1","GREENWOOD PARK EYE CENTRE","14000.00","14000.00","2022-01-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Review Consultation for C. Mbovora","specs/","GREENWOOD PARK EYE CENTRE","10223862","2022-01-19 08:30:35","523001",,"direct_purchases/scan0041.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22011983","Review Consultation for C. Mbovora (Injured on dut","1","GREENWOOD PARK EYE CENTRE","14000.00","14000.00","2022-01-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Review Consultation ","specs/","GREENWOOD PARK EYE CENTRE","10223862","2022-01-19 07:09:32","523001",,"direct_purchases/Invoice.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D2201205","Sanitary services for January 2022","1","CLEARDEAN PROPERTY CLEANERS","77970.31","77970.31","2022-01-18","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Sanitary bins and services for Jan 2022","specs/","CLEARDEAN PROPERTY CLEANERS","10223978","2022-01-20 07:28:12","523001",,"direct_purchases/ZETDC Saniary Service January 2022.xlsx",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D2201207","OSHEMAC 1 TRAINING FEES","2","NSSA","50850.00","101700.00","2022-01-20","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," OSHEMAC TRAINING FOR F. MASENDEKE AND G.GOHODZI","specs/","NSSA","10223977","2022-01-20 07:41:16","523001",,"direct_purchases/ZETDC Proforma Invoice January 2022.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
"D22012511","Rent ","1","higher dimension","60000.00","60000.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Hwami Southerton depot","specs/","higher dimension","10224318","2022-01-25 12:13:13","523001",,"direct_purchases/1643112793scan0053.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22012518","Rent ","1","Guest and Tanner","57260.00","57260.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for DM East Mbavarira","specs/","Guest and Tanner","10224328","2022-01-25 12:07:07","523001",,"direct_purchases/scan0050.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22012525","Rent ","1","Stohill","10800.00","10800.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Hwami Kuwadzana Depot","specs/","Stohill","10224313","2022-01-25 12:08:46","523001",,"direct_purchases/scan0051.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22012543","Rent ","1","Sandevan","72800.00","72800.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Makove Warren park ","specs/","Sandevan","10224319","2022-01-25 12:15:04","523001",,"direct_purchases/scan0054.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22012544","Rent Ruwa Depot","1","Guest and Tanner","263396.00","263396.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Ruwa depot","specs/","Guest and Tanner","10224332","2022-01-25 12:05:23","523001",,"direct_purchases/scan0049.pdf",,,,,,,,,,"Direct Purchase",,,"acc474015","harare"
"D22012545","Rent ","1","Rodbel","55500.00","55500.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Maindidze Waterfalls","specs/","Rodbel","10224323","2022-01-25 12:16:29","523001",,"direct_purchases/scan0055.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22012568","Rent ","1","Crusader","180000.00","180000.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Tachina NDE Manager","specs/","Crusader","10224325","2022-01-25 12:18:46","523001",,"direct_purchases/1643113126scan0056.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D2201257","Removal Plate & screw radius-Deliwe Museba","1","Surgical Accounts-Pioneering Health Group","329000.00","329000.00","2022-01-24","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Removal Plate and screw operation for Deliwe Museba","specs/","Surgical Accounts-Pioneering Health Group","10224359","2022-01-25 14:05:36","523001",,"direct_purchases/1643119536D Museba - surgeon asst, anaes.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22012571","refuse collection","1","clean city","8559.75","8559.75","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Refuse collection at Wynne street ","specs/","clean city","10224343","2022-01-25 12:00:26","523001",,"direct_purchases/scan0048.pdf",,,,,,,,,,"Direct Purchase",,,"acc474020","harare"
"D22012585","Rent ","1","Zoomway","120000.00","120000.00","2022-01-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," rent for Satande Borrowdale depot","specs/","Zoomway","10224315","2022-01-25 12:10:28","523001",,"direct_purchases/scan0052.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22020253","PCR Test","1","GO Path lab","5500.00","5500.00","2022-01-31","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," PCR test for Deliwe Museba prior to hospital admission","specs/","GO Path lab","10224847","2022-02-02 12:54:24","523001",,"direct_purchases/GOPATH - GM002-2021 (1).pdf","direct_purchases/Document 119.pdf",,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22020256","durawall panels and posts for Waterfalls depot par","1","zesa enterprises","94336.62","94336.62","2022-02-02","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," durawall panels and posts for Waterfalls depot parktown","specs/","zesa enterprises","10223859","2022-02-02 08:49:09","523001",,"direct_purchases/scan0061.pdf",,,,,,,,,,"Direct Purchase",,,"acc475005","harare"
"D22020329","Printer Catridges ","9","First Pack","476815.00","4291335.00","2022-02-03","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Purchase of printer catridges for the HRAM and the HRAM's Secretary","specs/","First Pack","10224988","2022-02-03 14:15:52","523001",,"direct_purchases/Scan0010 FIRST PACK.pdf",,,,,,,,,,"Direct Purchase",,,"acc473000","harare"
"D22020352","Teas, refreshments and other provisions (Preferred","1","TM PICK N PAY","128471.00","128471.00","2022-02-03","imgs/","OK THIRD STREET","0","0","0000-00-00","imgs/","FOOD WORLD","0","0","0000-00-00","imgs/"," Purchase of teas, refreshments and stationery for First Aid training","specs/","TM PICK N PAY","10224980","2022-02-03 14:09:22","523001",,"direct_purchases/scan0057.pdf",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D22020415","Ambulance service for Godwin Mapurisa","1","Ambulance Care and Evacuation","15400.00","15400.00","2022-02-03","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Ambulance services for Godwin Mapurisa","specs/","Ambulance Care and Evacuation","10225026","2022-02-04 10:40:58","523001",,"direct_purchases/godwin mapurisa (1).xlsx",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D22020434","TRENCHING","80","NIRA & SONS","3.00","240.00","2022-02-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," TRENCHING CB 49 FOURTH STREET 80M","specs/","NIRA & SONS","10224161","2022-02-04 13:32:37","524702",,"direct_purchases/NHIRA & SONS TRENCHING QUOTATION.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D22020489","Lunch meals for First aid training (5 DAYS-50 Part","1","Mambos Chicken","455400.00","455400.00","2022-02-03","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Lunch meals for First Aid training","specs/","Mambos Chicken","10225031","2022-02-04 10:38:55","523001",,"direct_purchases/Quotation for Lunches Mambos ZETDC 03 Feb 2022.pdf",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D22020747","newspapers Newsday","1","alpha media","1.00","1.00","2022-02-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Payment of newspaper subs for RMT Members ","specs/","alpha media","10225124","2022-02-07 13:07:06","523001",,"direct_purchases/scan0088.pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D22020749","newspapers The Standard","1","alpha media","1.00","1.00","2022-02-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," payment of newspaper subs for RMT members","specs/","alpha media","10225122","2022-02-07 13:05:03","523001",,"direct_purchases/scan0089.pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
