"id","document_id","rfq_number","rfq_date","scope_of_work","item_required","qty","date_created","specifications","created_by","section_code","ace","ace_spec","proc_ref","region"
"196","RQ21112491","10221542","2021-11-24","Procurement of uniforms for IMS representatives",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc473650","harare"
"197","RQ21112443","10221539","2021-11-24","procurement of A4 flat folders for moving mail ",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc473010","harare"
"198","RQ21112538","10221596","2021-11-25","Signage for Mabvuku Client services centre ",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc473210","harare"
"199","RQ21112571","10221617","2021-11-25","HR Excellence Awards IPMZ TABLE OF 10",,"0","2022-12-07 10:12:16","../specifications/","ze53821","524601",,,"acc473710","harare"
"200","RQ21120297","10221407","2021-11-22","Office Provisions for meetings",,"0","2022-12-07 10:12:16","../specifications/Stationery quotation First Pack.pdf","ze34045","524401",,,"acc466605","harare"
"201","RQ21120271","10221701","2021-11-26","Tea Provisions and refreshments",,"0","2022-12-07 10:12:16","../specifications/","ze34045","524401",,,"acc473700","harare"
"202","RQ21120292","10221957","2021-12-02","Purchase of two Samsung Galaxy A12 64gb for Lead Artisan and Artisan Southerton CSC (Mugure H & Mutambara A.) respectively",,"0","2022-12-07 10:12:16","../specifications/spellbound invoice.pdf","ze53821","524601",,,"acc473310","harare"
"203","RQ21120211","10221967","2021-12-02","Sound Hire, Photography & DJ Long Service Awards 10 December 2021 - Cresta Jameson",,"0","2022-12-07 10:12:16","../specifications/","ze53821","524601",,,"acc473630","harare"
"204","RQ21120295","10221972","2021-12-02","Sound Hire, Photography &  DJ long service Awards 07 December 2021 Golden Conifer ",,"0","2022-12-07 10:12:16","../specifications/PREMIER SOUNDS PRAZ 2021 (1) ln.pdf","ze53821","524601",,,"acc473630","harare"
"205","RQ21120389","10219058","2021-12-03","hiring of 3 x 1 tonne truck for revenue collection and operations for Southerton",,"0","2022-12-07 10:12:16","../specifications/","ze261092","524604",,,"acc473600","harare"
"206","RQ21120837","10221944","2021-12-02","PURCHASE OF 3 HANDFREE TELEPHONE SETS",,"0","2022-12-07 10:12:16","../specifications/MATRIX PHONE SPECS.pdf","ze261009","527001",,,"acc473300","harare"
"207","RQ21120997","10221916","2021-12-01","Purchase of Ipad for Engineering Manager",,"0","2022-12-07 10:12:16","../specifications/ipad specs.pdf","ze291463","527001",,,"acc473310","harare"
"208","RQ21121371","10222165","2021-12-13","carry out service @ 10000km Nissan np300 f/n hr5339 (north comm)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"209","RQ21121311","10222417","2021-12-13","COVID 19 TESTING FOR 500 EMPLOYEES",,"0","2022-12-07 10:12:16","../specifications/","ze293091","523001",,,"acc473640","harare"
"210","RQ21121370","10222421","2021-12-13","Purchase of COVID 19 Provisions for COVID 19 Patients",,"0","2022-12-07 10:12:16","../specifications/","ze293091","523001",,,"acc473640","harare"
"211","RQ21121623","14200100","2021-12-16","Test RFQ",,"0","2022-12-07 10:12:16","../specifications/min.pdf","ze291463","527001",,,"acc404070","harare"
"212","RQ21121719","99222593","2021-12-17","diagnose engine misfire & quote for work to be done isuzu 6th gen f/n hr5239 (mbn)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"213","RQ21121740","90222593","2021-12-17","diagonise engine misfire & advise on nature of work isuzu 6th gen f/n hr5239 (mbn)",,"0","2022-12-07 10:12:16","../specifications/Quotation  ADL3491.pdf","ze303267","524201",,,"acc473930","harare"
"214","RQ21121752","90221541","2021-11-24","replace fuel pump Vehicle alredy in your w/shop for other repairs isuzu 6th gen f/n hr5275",,"0","2022-12-07 10:12:16","../specifications/hr5275 quote.pdf","ze303267","524201",,,"acc473930","harare"
"215","RQ21121799","10222551","2021-12-16","Purchase of sanitizers for COVID 19 prevention-Stock replenishment",,"0","2022-12-07 10:12:16","../specifications/Sanitizer Specifications.docx","ze293091","523001",,,"acc473640","harare"
"216","RQ21122170","90222552","2021-12-21","supply clutch kit for nissan UD95 f/n hr5190 (ops)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"217","RQ21122179","10222715","2021-12-21","supply clutch kit for isuzu 5th generation f/n hr5191",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"218","RQ21122158","10222552","2021-12-21","supply clutch kit fot isuzu 6th generation f/n hr5270 )ops)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"219","RQ21122359","10221961","2021-12-23","SUPLY AND FIT TENT",,"0","2022-12-07 10:12:16","../specifications/","ze3534375","524202",,,"acc473930","harare"
"220","RQ21122318","90210968","2021-05-05","supply 10 clutch kits for nissan YD25  (genuine parts)",,"0","2022-12-07 10:12:16","../specifications/CLUTCH KIT YD25.pdf","ze303267","524201",,,"acc473930","harare"
"221","RQ21122484","10221795","2021-12-23","TOOLS FOR USE BY CIVIL ARTISAN, EAST DISTRICT",,"0","2022-12-07 10:12:16","../specifications/","ze30570","524701",,,"acc281700","harare"
"222","RQ21122420","10222665","2021-12-23","TELEPHONE HANDSETS FOR EAST DISTRICT OFFICES",,"0","2022-12-07 10:12:16","../specifications/HANDSETS EAST-$191141.5.msg","ze30570","524701",,,"acc475300","harare"
"223","RQ2112297","99217126","2021-09-16","banner signpost for garage  (HARARE REGION  MOTOR VEHICLE WORKSHOP)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"224","RQ2112296","10222650","2021-12-29","matrix handsets for GM and HRAM",,"0","2022-12-07 10:12:16","../specifications/scan0003.pdf","ze296538","523001",,,"acc473300","harare"
"225","RQ21122961","10222869","2021-12-29","ADDITIONAL MATERIALS FOR TILLING EAST DISTRICT OFFICES",,"0","2022-12-07 10:12:16","../specifications/QUOTE  TILES 2.pdf","ze30570","524701",,,"acc475005","harare"
"226","RQ21122914","10222873","2021-12-29","water taps and plumbing materials",,"0","2022-12-07 10:12:16","../specifications/","ze296538","523001",,,"acc475005","harare"
"227","RQ21122943","90222889","2021-12-29","fit new HT cables & spark plugs on isuzu 6th gen f/n hr5239 (mbn)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"228","RQ21122941","99222888","2021-12-29","fit new HT cables & idler valve on isuzu 6th gen f/n hr5200",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"229","RQ21123045","90217126","2021-09-16","design garage signpost (ZETDC HRE REGION MOTR VEHICLE WORKSHOP)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"230","RQ21123024","10217126","2021-09-16","design garage signpost (HRE REGION MOTOR VEHICLE WORKSHOP)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"231","RQ2112306","10221541","2021-11-24","supply & fit fuel pump assembly on isuzu 6th generation f/n hr5275 ",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"232","RQ21123128","10222889","2021-12-29","supply & fit 4 H.T cables and 4 spark plugs on isuzu 6th gen f/n hr5239 (mbn)",,"0","2022-12-07 10:12:16","../specifications/isuzu quote 1.jpg","ze303267","524201",,,"acc473930","harare"
"233","RQ21123120","90222888","2021-12-29","supply & fit 4 H.T cables and idler valve on isuzu 5th gen f/n hr5200 (n.d)",,"0","2022-12-07 10:12:16","../specifications/isuzu quote 2.jpg","ze303267","524201",,,"acc473930","harare"
"234","RQ22010357","10210968","2021-05-05","supply 10 clutch kits for nissan np300 YD25 (genuine kits)",,"0","2022-12-07 10:12:16","../specifications/clutch quote 2.xlsx","ze303267","524201",,,"acc473930","harare"
"235","RQ22010345","10222950","2022-01-03","supply building materials for garage extention",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc404091","harare"
"236","RQ22010433","10223008","2022-01-04","COVID 19 TESTING (FORTNIGHT 3)",,"0","2022-12-07 10:12:16","../specifications/QUOTES & PRAZ CERTIFICATES.zip","ze293091","523001",,,"acc473640","harare"
"237","RQ2201053","10223048","2022-01-05","carry out clutch & brake overhaul on Toyota Quantum f/n hr5082",,"0","2022-12-07 10:12:16","../specifications/quantum quotation.pdf","ze303267","524201",,,"acc473930","harare"
"238","RQ22010592","10223057","2022-01-05","supply 24 wheel studs & nuts for nissan np300 f/n hr5266 (g/view)",,"0","2022-12-07 10:12:16","../specifications/STUDS AND NUTS - NP300  QUOTATION.pdf","ze303267","524201",,,"acc473930","harare"
"239","RQ22010579","10223058","2022-01-05"," supply 24 wheel studs & nuts for nissan np300 f/n hr5251",,"0","2022-12-07 10:12:16","../specifications/1641371586STUDS AND NUTS - NP300  QUOTATION.pdf","ze303267","524201",,,"acc473930","harare"
"240","RQ22010594","10223059","2022-01-05","supply wheel studs & nuts for nissan np300 f/n hr5217 (ruwa)",,"0","2022-12-07 10:12:16","../specifications/1641371724STUDS AND NUTS - NP300  QUOTATION.pdf","ze303267","524201",,,"acc473930","harare"
"241","RQ22010591","10223062","2022-01-05","supply bearing grease for garage use",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473950","harare"
"242","RQ22010532","10223109","2022-01-05","Photography for Long Services Awards held at Golden Conifer",,"0","2022-12-07 10:12:16","../specifications/PROFOMA INVOICE ZETDC (00000002).pdf","ze53821","524601",,,"acc473630","harare"
"243","RQ22010520","10223115","2022-01-05","Purchasing of GM residency Geysor connections",,"0","2022-12-07 10:12:16","../specifications/","ze296538","523001",,,"acc404110","harare"
"244","RQ22010529","10223111","2022-01-05","Purchase of VIOP Phones for Southerton CSC",,"0","2022-12-07 10:12:16","../specifications/QUOTATION FOR VOIP HANDSETS.pdf","ze53821","524601",,,"acc473300","harare"
"245","RQ2201057","10223110","2022-01-05","PURCHASE OF CHAINSAW FOR RUWA DEPOT",,"0","2022-12-07 10:12:16","../specifications/Scan CHAISAW.pdf","ze44482","524705","ACE21111610","specifications/1637058380chainsaw.pdf","acc281700","harare"
"246","RQ22010651","10223142","2022-01-06","Tile adhesive for Waterfalls depot ",,"0","2022-12-07 10:12:16","../specifications/","ze296538","523001",,,"acc475005","harare"
"247","RQ22011035","10223308","2022-01-10","supply fencing materials for garage use",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc404091","harare"
"248","RQ22011132","10223363","2022-01-11","carry out service @ 30000km nissan np300 f/n hr5334",,"0","2022-12-07 10:12:16","../specifications/HR5334 (1).pdf","ze303267","524201",,,"acc473930","harare"
"249","RQ22011149","10217536","2021-09-09","supply 6 1000x20 tyres for nissan cpb12 f/n 1040",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"250","RQ22011193","10212230","2021-06-02","supply 245x16 tyres for stock",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"251","RQ22011175","10220007","2021-11-03","supply cement for garage use",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc404091","harare"
"252","RQ22011134","10221472","2021-11-23","supply service kits for nissan YD25 (stock items)",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"253","RQ22011185","10220215","2021-11-05","supply starter motor for nissan np300 f/n hr5231",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"254","RQ22011198","90221566","2021-11-24","supply starter motor for nissan np300 f/n hr5253",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"255","RQ22011177","10221566","2021-11-24","supply starter motor for nissan np300 f/n hr5253",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"256","RQ22011143","10223191","2022-01-06","For purchase of requirements for ZESA RPA department, ROC certification process.",,"0","2022-12-07 10:12:16","../specifications/","ze237485","524101",,,"acc281700","harare"
"257","RQ22011152","90223448","2022-01-11","Partitioning of Finance section Wynne street",,"0","2022-12-07 10:12:16","../specifications/1641916064scan0015.pdf","ze296538","523001",,,"acc475005","harare"
"258","RQ22011164","10223448","2022-01-11","partitioning of Finance section",,"0","2022-12-07 10:12:16","../specifications/1641916130scan0015.pdf","ze296538","523001",,,"acc475005","harare"
"259","RQ22011122","10223452","2022-01-11","Waterfalls depot new Water connection",,"0","2022-12-07 10:12:16","../specifications/scan0016.pdf","ze296538","523001",,,"acc473440","harare"
"260","RQ2201126","10221819","2021-11-30","PURCHASE OF PORTABLE WELDIND MACHINE FOR OUTSIDE WORKSHOP FABRICATION",,"0","2022-12-07 10:12:16","../specifications/","ze3522741","524301",,,"acc281700","harare"
"261","RQ2201127","90221209","2021-11-19","remove & recondition front leaf springs replace, shock absorbers & wheel studs on nissan ud70 f/n hr5152 (vehicle already at DULYS )",,"0","2022-12-07 10:12:16","../specifications/ud70 quote.pdf","ze303267","524201",,,"acc473930","harare"
"262","RQ22011211","10223472","2022-01-12","supply new starter motor for nissan yd25 f/n hr5292",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"263","RQ22011222","10223351","2022-01-10","Purchase of Office Furniture for the Engineering Manager and Secretary's Office",,"0","2022-12-07 10:12:16","../specifications/Specification for Office Furniture.pdf","ze301744","524001","ACE21120290","specifications/1638434333Explanatory Notes for Purchase of Office Furniture.pdf","acc475300","harare"
"264","RQ22011249","10223326","2022-01-11","supply 4 rims 215x15 for nissan np 300 f/n hr5219",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"265","RQ22011231","10219723","2021-10-29","PURCHASE OF NOVA SOCKET OUTLET FOR MIG WELDING MACHINE CONNECTION AT WORKSHOP",,"0","2022-12-07 10:12:16","../specifications/NOVA SOCKET 2.jpg","ze3522741","524301",,,"acc475500","harare"
"266","RQ22011240","10221129","2021-11-18","carry out B service for nissan np300 f/n hr5339",,"0","2022-12-07 10:12:16","../specifications/hr5339.pdf","ze303267","524201",,,"acc473930","harare"
"267","RQ22011255","10221163","2021-11-18","supply clutch kit for isuzu 240 petrol 5th generation f/n hr5198",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"268","RQ22011287","10223512","2022-01-12","supply building materials for garage extention",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc475200","harare"
"269","RQ22011272","10223514","2022-01-12","supply building materials for garage extention",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc475200","harare"
"270","RQ22011284","10223517","2022-01-12","supply building materials for garage extention",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc475005","harare"
"271","RQ22011261","10223516","2022-01-12","subscription newspaper for the office of District Manager & Sales Executive, East District",,"0","2022-12-07 10:12:16","../specifications/","ze30570","524701",,,"acc473810","harare"
"272","RQ2201121","10222091","2021-12-06","REPAIR FOUR  FAULTY 110 VOLT BATTERY CHARGERS FOR RUWA AS EMERGENCY; NO PROTECTION TO SUBSTATION",,"0","2022-12-07 10:12:16","../specifications/","ze3522741","524301",,,"acc475500","harare"
"273","RQ22011381","10222888","2021-12-29","carry out clutch overhaul & fit 4 new HT cables on isuzu 5th generation f/n hr5200 (vehicle already at Autoworld)",,"0","2022-12-07 10:12:16","../specifications/NDE  ACX2600.pdf","ze303267","524201",,,"acc473930","harare"
"274","RQ22011323","10223040","2022-01-05","REPAIR BLOWN NEUTRAL CURRENT TRANSFORMER 99/5 DUAL RATIO FOR HILLSIDE 33/11 KV  AT HILLSIDE SUBSTATION; VERY URGENT",,"0","2022-12-07 10:12:16","../specifications/","ze3522741","524301",,,"acc475500","harare"
"275","RQ22011317","10223045","2022-01-06","PURCHASE OF 400MM2  BRASS CLAMPS FOR PARKRIDGE AND SENIORS 132/33 KV TRANSFORMERS LV CLAMPS AS PER SAMPLE",,"0","2022-12-07 10:12:16","../specifications/","ze3522741","524301",,,"acc475500","harare"
"276","RQ22011351","10223567","2022-01-13","carrt out service @ 20000km on nissan np200 f/n hr5327",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"277","RQ22011396","10223572","2022-01-13","carry out service at 10000km nissan np200 f/n hr5299",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"278","RQ22011370","10223604","2022-01-13","PURCHASE OF 30 M OF 33MM2 WELDING CABLE, EARTH CLAMP 500A CROCODILE AND 500 AMP ELECTRODE HOLDER",,"0","2022-12-07 10:12:16","../specifications/1642070816WELDING CABLES 4.jpg","ze3522741","524301",,,"acc475600","harare"
"279","RQ22011358","10223592","2022-01-13","Glyphoshate weed killer for Southerton depot",,"0","2022-12-07 10:12:16","../specifications/","ze261092","524604",,,"acc404088","harare"
"280","RQ22011357","10219634","2022-01-13","055A Toner for our network printer",,"0","2022-12-07 10:12:16","../specifications/","ze261092","524604",,,"acc473020","harare"
"281","RQ22011368","10223620","2022-01-13","Purchase ot toner cartridges for HP LASERJET CP1025 COLOUR ",,"0","2022-12-07 10:12:16","../specifications/","ze37540","524202",,,"acc475400","harare"
"282","RQ22011420","10223633","2022-01-13","PURCHASE OF TORCHES FOR USE DURING THE NIGHT",,"0","2022-12-07 10:12:16","../specifications/TORCHES.jpg","ze3522741","524301",,,"acc475600","harare"
"283","RQ22011410","10223652","2022-01-14","PURCHASE OF 70 MM2 FLEX CABLES",,"0","2022-12-07 10:12:16","../specifications/CAFCA BANKING DETAILS.jpg","ze3522741","524301",,,"acc475500","harare"
"284","RQ22011450","10223672","2022-01-14","To purchase   10 cellphones  for  Revenue Assurance  Assistance- Wfalls  Depot",,"0","2022-12-07 10:12:16","../specifications/Tecno  cellphones -Waterfalls.pdf","ze319295","524603",,,"acc473310","harare"
"285","RQ22011465","90223523","2022-01-12","Purchase of Surgical Masks for February Issue",,"0","2022-12-07 10:12:16","../specifications/Masks specifications.docx","ze293091","523001",,,"acc473640","harare"
"286","RQ2201176","10218925","2021-10-18","supply & fit 6 tyres (700x16) for generator cart",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"287","RQ22011721","10223523","2022-01-13","Purchase of masks for February 2021 issue",,"0","2022-12-07 10:12:16","../specifications/1642404049Masks specifications.docx","ze293091","523001",,,"acc473640","harare"
"288","RQ22011762","10215293","2021-08-16","attend to vehicle not starting mazda bt50 f/n dh7006",,"0","2022-12-07 10:12:16","../specifications/","ze303267","524201",,,"acc473930","harare"
"289","RQ22011761","10223543","2022-01-13","Supply and Installation of new Statistics Board for Coventry Stores (Site visit required-Wynne Street)",,"0","2022-12-07 10:12:16","../specifications/","ze293091","523001",,,"acc473640","harare"
"290","RQ22011746","10223757","2022-01-17","Faulty P.T.O on Powerstar crane F/n Hr 5284",,"0","2022-12-07 10:12:16","../specifications/","ze37540","524202",,,"acc466607","harare"
"291","RQ22011729","10223602","2022-01-13","Purchase of safety shoes for ladies",,"0","2022-12-07 10:12:16","../specifications/TECHINICAL SPEC.pdf","ze293091","523001",,,"acc473640","harare"
"292","RQ22011784","223782","2022-01-17","Accommodation for  Eng B Chimusaru, S Chirandu, S Tachiona, T Chikurira and M Chivhinge ",,"0","2022-12-07 10:12:16","../specifications/","ze323896","524101",,,"acc476200","harare"
"293","RQ22011714","90223782","2022-01-17","Accommodation for Eng B Chimusaru, S. Chirandu, S Tachiona, T Chikurira and M Chivhinge   in Holiday Inn Mutare for asset register",,"0","2022-12-07 10:12:16","../specifications/ZETDC  19 AND 20 JAN  Holiday in Mutare.pdf","ze323896","524101",,,"acc476200","harare"
"294","RQ22011789","10223272","2022-01-17","Pavers for New Waterfalls depot Parktown",,"0","2022-12-07 10:12:16","../specifications/scan0028.pdf","ze281875","523001",,,"acc475005","harare"
"295","RQ22011710","10223795","2022-01-17","COVID 19 Antigen Testing for Fortnight 4 (22.01.2022)",,"0","2022-12-07 10:12:16","../specifications/","ze293091","523001",,,"acc473640","harare"
"296","RQ22011838","10223741","2022-01-17","6 VISITORS CHAIRS ,5 SWIVEL CHAIRS, 1 6 DRAWER DESK (SAFM) 1 SWIVEL CHAIR (SAFM)",,"0","2022-12-07 10:12:16","../specifications/ACE2.jfif","ze229105","522001","ACE21120980","specifications/1639045212ACE1.jfif","acc475300","harare"
"297","RQ22011829","10223828","2022-01-18","CB 29 CRANEBORNE TRENCHING BTWN S/S 3469  AND S/S 87 60M 11KV UGC",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"298","RQ2201185","10223832","2022-01-18","CB 89 WYNNE ST TRENCHING BTWN S/S 2118 TO S/S 847 11KV UGC",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"299","RQ22011817","10223836","2022-01-18","CB 139 AIRPORT BTWN S/S 1298 TO S/S 551 AND FROM S/S 517 11KV UGC TRENCHING",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"300","RQ22011828","10223782","2022-01-17","Accommodation for 5 Engineers attending asset register in Mutare Eng B Chimusaru, S Chirandu, S Tachiona, T Chikurira and M Chivhinge",,"0","2022-12-07 10:12:16","../specifications/1642507411ZETDC  19 AND 20 JAN  Holiday in Mutare.pdf","ze323896","524101",,,"acc476200","harare"
"301","RQ22011962","10223367","2022-01-11","Supply and fit front wheel bearing kit on F/n Hr 5149 Mitsubishi L200",,"0","2022-12-07 10:12:16","../specifications/","ze37540","524202",,,"acc466607","harare"
"302","RQ22011914","90223925","2022-01-19","Tiles for Hr and Admin Manager",,"0","2022-12-07 10:12:16","../specifications/scan0029.pdf","ze296538","523001",,,"acc475005","harare"
"303","RQ22011912","10214301","2022-01-19","Ground floor boardroom table with chairs",,"0","2022-12-07 10:12:16","../specifications/scan0030.pdf","ze296538","523001",,,"acc475300","harare"
"304","RQ22011923","90223914","2022-01-19","Air conditioning for GIS ground floor office",,"0","2022-12-07 10:12:16","../specifications/Quotation ZETDC WYNNE STREET.pdf","ze296538","523001",,,"acc475005","harare"
"305","RQ22012062","10224044","2022-01-20","carry out 10000km service on np200 fleet hr 5329",,"0","2022-12-07 10:12:16","../specifications/","ze254746","524201",,,"acc473930","harare"
"306","RQ22012039","10224014","2022-01-20","interactive LED Screen TV Computer for new board room Wynne street",,"0","2022-12-07 10:12:16","../specifications/Est_503_from_BRAND_DIGITAL_PRIVATE_LIMITED_1192.pdf","ze296538","523001",,,"acc473750","harare"
"307","RQ22012091","10224049","2022-01-20","carry out 20 000km service out on np 200  afn 0970 fleet no hr 5326",,"0","2022-12-07 10:12:16","../specifications/","ze254746","524201",,,"acc473930","harare"
"308","RQ22012149","10223925","2022-01-21","floor tiles for HRAM Manager office",,"0","2022-12-07 10:12:16","../specifications/scan0039.pdf","ze296538","523001",,,"acc475005","harare"
"309","RQ22012179","10224161","2022-01-21","TRENCHING CB 49 FOURTH STREET FROM S/S 400- S/S 4187  40M",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"310","RQ22012460","10224190","2022-01-24","trenching cb 49 4th st ",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"311","RQ22012473","10224191","2022-01-24","trenching cb 19 craneborne s/s 3368- s/s 819",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"312","RQ22012438","90224213","2022-01-24","Function room plumbing and water works",,"0","2022-12-07 10:12:16","../specifications/scan0043.pdf","ze296538","523001",,,"acc475005","harare"
"313","RQ22012491","10223859","2022-01-24","Precast repair at New Waterfalls Depot",,"0","2022-12-07 10:12:16","../specifications/","ze296538","523001",,,"acc475005","harare"
"314","RQ22012425","10224213","2022-01-24","function room water and plumbing materials",,"0","2022-12-07 10:12:16","../specifications/scan0045.pdf","ze296538","523001",,,"acc475005","harare"
"315","RQ2201255","10224280","2022-01-25","CB69 WVI cable fault trenching",,"0","2022-12-07 10:12:16","../specifications/","ze261092","524604",,,"acc473620","harare"
"316","RQ22012510","10224282","2022-01-25","CB49 Cov cable btwn ss345& 4034",,"0","2022-12-07 10:12:16","../specifications/","ze261092","524604",,,"acc473620","harare"
"317","RQ22012578","10224285","2022-01-25","Cable trenching at CB119 HFD",,"0","2022-12-07 10:12:16","../specifications/","ze261092","524604",,,"acc473620","harare"
"318","RQ22012586","10224307","2022-01-25","Quarry dust for NEW WATERFALLS DEPOT",,"0","2022-12-07 10:12:16","../specifications/scan0047.pdf","ze296538","523001",,,"acc475005","harare"
"319","RQ22012565","90224339","2022-01-25","purchase of cellphone and hand set for the Engineering Manager",,"0","2022-12-07 10:12:16","../specifications/Tablet Specification for Engineering Manager (Drone Project) (00000003).docx","ze323896","524101",,,"acc473300","harare"
"320","RQ22012553","10222548","2022-01-25","CLUTCH OVERHAUL FOR HR 5270",,"0","2022-12-07 10:12:16","../specifications/","ze254746","524201",,,"acc473930","harare"
"321","RQ22012517","10224357","2022-01-25","NON START MAJOR SERVICE ",,"0","2022-12-07 10:12:16","../specifications/","ze254746","524201",,,"acc473930","harare"
"322","RQ2201252","10224135","2022-01-25","BOQ GARAGE MATERIALS",,"0","2022-12-07 10:12:16","../specifications/","ze254746","524201",,,"acc473930","harare"
"323","RQ22012664","10222803","2022-01-26","CB 59 SELOUS CABLE TRENCHING 100M",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
"324","RQ22012675","10222802","2022-01-26","TRENCHING FROM 1094 TO S/S 2146 CB 79 GARDENS",,"0","2022-12-07 10:12:16","../specifications/","ze226769","524702",,,"acc473620","harare"
