location,depot,district,region,created_at
Anderson school,KADOMA DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-04-15
Chadcombe,JURU DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-04-22
Eastlea,NKETA DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-11-15
Alex Park - Part,KAROI DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-05-26
Parts of Unit K,CBD DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-09-10
Amalinda Farm,GWERU URBAN DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-08-17
S Mazorodze Areas,MAKONI DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-12-17
Kambuzuma,MARONDERA DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-03-22
Hatcliffe,MT DARWIN DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-01-08
Cranborne Park,RUSAPE  DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-06-01
Crowborough Estate,RUWA DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-07-23
Glen Norah,MIDDLE SABI  DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-09-30
Emerald Hill,MVURWI DEPOT,CHINHOYI DISTRICT ,WESTERN REGION,2024-02-24
Bumba,CONCESSION DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-07-16
Somerby Area,MABELREIGN DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-08-19
Guzha,MVUMA DEPOT,GWANDA DISTRICT,HARARE REGION,2024-11-06
Logan Park,MASHAVA  DEPOT,HR NORTH DISTRICT,WESTERN REGION,2024-05-31
Quinnington,BORROWDALE DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-11-02
Westlea,NORTON DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-11-04
Newlands,SHURUGWI DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-10-04
Birchenough Bridge,GWANDA DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-08-08
Mayfield Park,CHEGUTU DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-12-23
Msasa Park,PLUMTREE DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-12-21
Mabvuku,NKETA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-09-07
Africa University,MUTARE URBAN  DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-08-07
Ashdown Park,BINDURA DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-02-08
Barrington Rd Area,RUWA DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-04-17
Bikita Minerals,GWERU ENVIRONS DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-02-23
Amalinda Farm,WATERFALLS DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-07-18
Parkridge Estate,PLUMTREE DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-01-20
Athlone,CHIPINGE  DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-07-22
Haig Park,BORROWDALE DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-10-03
Mayfield Park,ZVISHAVANE DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-08-01
Reiforntein,NORTON DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-11-15
Thornpark,MT DARWIN DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-06-22
St Mary’s,KUWADZANA DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-07-05
Glenview - Part,NYANGA  DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-06-07
Chadcombe,BEITBRIDGE DEPOT,HR EAST DISTRICT,HARARE REGION,2024-06-18
Somerby Area,CBD DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-04-24
Avenues,RUWA DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-05-20
Hat-Twentydales -Part,MARONDERA RURAL DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-09-30
Kambuzuma,TURK MINE DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-04-17
Upper Reaches Rd,MABVUKU DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-04-07
Birthday Mine,CHINHOYI DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-04-26
Avonlea West,MHANGURA DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-10-21
Park Meadowlands,MUTARE URBAN  DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-01-05
The Grange,HWANGE DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-07-13
Malvern,CHIMANIMANI  DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-02-15
Arbour Cres,ZENGEZA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-09-19
Upper Reaches Rd,PLUMTREE DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-06-12
Coronation Park,MABVUKU DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-08-07
Machipisa,CHIVHU DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-04-28
Bangala,WATERFALLS DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-08-27
Chadcombe,SOUTHERTON DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-10-05
Stoneridge Rd,KARIBA DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-12-09
Glenview - Part,BORROWDALE DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-10-08
Queensdale,MUTARE URBAN  DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-06-23
Komani,GLENVIEW DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-04-07
Hillside,GLENVIEW DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-08-15
Waterfalls,MABVUKU DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-09-29
Greengrove,CENTENARY DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-06-07
Prospect East,CBD DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-08-22
Ashdown Park,GUTU  DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-08-13
Kensington,NKAYI DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-12-10
Winchdon,KWEKWE URBAN DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-01-25
Whitecliffe,KUWADZANA DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-04-16
Mbare,CONCESSION DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-06-15
Pomona,KWEKWE URBAN DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-07-25
Widdecombe,SOUTHERTON DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-02-12
Mandara,NORTON DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-04-08
"Seke Unit F, G Old",TURK MINE DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-04-24
Lake Chivero,MVURWI DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-01-16
Kambuzuma South,CENTENARY DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-12-28
Safron Area,GOKWE DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-08-03
Coronation Park,MUTOKO DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-02-06
Mayfield Park,REDCLIFF DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-06-30
Jerusalem,WARREN PARK DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-06-01
Sherwood Park - Part,ZVISHAVANE DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-04-06
Manyame Park,BYO EAST URBAN  DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-04-08
Grobbie Park,MIDDLE SABI  DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-04-02
Waldon Area,CHIMANIMANI  DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-04-25
Mandara,KADOMA RURAL DEPOT,CHINHOYI DISTRICT ,WESTERN REGION,2024-02-04
Mt Hampden,GWERU ENVIRONS DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-08-11
"Seke Unit B, Makoni",RUWA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-05-19
"Seke Unit M,N, O, P",MATAGA DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-03-31
Kingsmead,WARREN PARK DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-07-26
Avila,BEATRICE DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-06-10
"Seke Unit F, G Old",PLUMTREE DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-05-19
Machipisa,MUTOKO DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-11-22
Rydale Ridge,PLUMTREE DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-09-04
Kambuzuma,NEMBUDZIYA DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-06-28
Parktown,CBD DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-04-29
Merwede,CONCESSION DEPOT,HR EAST DISTRICT,HARARE REGION,2024-11-15
Queensdale,CHIMANIMANI  DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-09-25
"Seke Unit B, Makoni",MAKONI DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-12-21
Rolf Valley N,BROMLEY DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-08-17
Parkridge Estate,REDCLIFF DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-10-18
Mabelreign N,GOKWE DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-06-30
Bannockburn,KARIBA DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-11-01
Mt Pleasant & Heights,GWERU URBAN DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-03-13
San Souci Rd Area,RUWA DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-09-09
Athlone - Part,BORROWDALE DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-01-03
Whitecliffe,BEITBRIDGE DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-03-19
Startmore Farm,KADOMA DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-08-25
Mayfield Park,GWERU URBAN DEPOT,KWEKWE DISTRICT ,SOUTHERN REGION,2024-02-19
Bothashof,BORROWDALE DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-03-30
Southlea Park,GWERU URBAN DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-12-30
Little Norfolk,CHINHOYI DEPOT,HR EAST DISTRICT,WESTERN REGION,2024-12-01
Waterfalls,NKETA DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-11-15
Town Centre,WARREN PARK DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-04-19
Milton Park,MVUMA DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-09-03
Emerald Hill,RUTENGA  DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-03-23
Warren Park - Part,WARREN PARK DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-09-01
Greendcroft,CHIMANIMANI  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-03-04
Dzivaresekwa,CONCESSION DEPOT,BINDURA  DISTRICT ,WESTERN REGION,2024-03-17
Luna,GLENVIEW DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-08-31
Chadcombe,CHEGUTU DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-08-20
Coronation Park,RUSAPE  DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-02-04
Kutsaga,ZENGEZA DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-03-02
"Seke Unit F, G Old",BULAWAYO ENVIRONS  DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-09-20
Buhera,GLENVIEW DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-06-08
3 Brigade,GUTU  DEPOT,CHINHOYI DISTRICT ,WESTERN REGION,2024-03-03
3 Brigade,CHIPINGE  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-09-16
Twentydales Ext.,KAROI DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-02-18
Art Farm,GWANDA DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2024-10-09
Ruwa,KWEKWE URBAN DEPOT,GWANDA DISTRICT,HARARE REGION,2024-10-15
Stanbury Park,KUWADZANA DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-05-22
Startmore Farm,ENTUMBANE DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-04-11
Warren Park - Part,RUSAPE  DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-11-12
Anderson school,ENTUMBANE DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-09-25
Logan Park,MT DARWIN DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-01-30
Bannockburn,GWERU ENVIRONS DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-07-22
Jerusalem,MARONDERA RURAL DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-05-29
Burma Valley,JURU DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-02-28
Mbare,MUTARE ENVIRONS  DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-10-09
Borrowdale Brook,RUWA DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-12-28
Somerby Area,GLENVIEW DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-08-23
Ruwa,SOUTHERTON DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-04-10
Ashdown Park,JURU DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-05-19
Park Meadowlands,MABVUKU DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-04-16
Avondale West,CHIMANIMANI  DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-03-17
Hopley,KWEKWE URBAN DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-09-09
Southerton Residential,ESIGODINI DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-04-19
Arbour Cres,MARONDERA RURAL DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-08-29
Bumba,MVUMA DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-11-05
Chikurubi,CHINHOYI DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-09-08
Westwood,MASVINGO  DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-03-07
Bumba,MIDDLE SABI  DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-04-30
Helensvale S,MABVUKU DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-08-06
"Seke Unit M,N, O, P",MABVUKU DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-06-04
Avondale West,WARREN PARK DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-09-22
"Seke Unit K, L, M",NEMBUDZIYA DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-02-14
Tafara,SHURUGWI DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-08-11
Warren Park,ESIGODINI DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-05-11
Rhodesville,KADOMA RURAL DEPOT,HR EAST DISTRICT,WESTERN REGION,2024-12-24
Quinnington,ZVISHAVANE DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-12-30
