location,depot,district,region,created_at
Bangazani Dam,Mabvuku Depot,Chitungwiza District,Harare,2023-11-07
Westlea,Waterfalls Depot,North District,West,2023-12-02
Rolf Valley N,CBD Depot,Chitungwiza District,Harare,2023-01-27
Glenview - Part,CBD Depot,East District,South,2024-01-10
Mbare,Ruwa Depot,South District,West,2023-08-18
Eastlea,Mabvuku Depot,North District,Harare,2023-06-16
4 Brigade,Zengeza Depot,Chitungwiza District,South,2023-11-15
Parktown,Waterfalls Depot,Chitungwiza District,West,2023-03-28
Southern Granite,Zengeza Depot,South District,South,2023-04-10
Ridgeview,Waterfalls Depot,East District,Harare,2023-04-23
Marlborough,Warren Park Depot,Chitungwiza District,West,2023-04-23
St Mary’s,Kuwadzana Depot,South District,Harare,2024-01-06
Bangazani Dam,Southerton Depot,North District,South,2024-02-05
Bordervale,Southerton Depot,East District,West,2023-05-22
Little Norfolk,Kuwadzana Depot,North District,Harare,2023-11-06
Wilmington Park,Warren Park Depot,Chitungwiza District,Harare,2023-12-09
GDC,Glen View Depot,Chitungwiza District,South,2023-06-09
Little Norfolk,CBD Depot,South District,South,2024-01-25
Highlands - Part,Makoni Depot,North District,East,2024-03-04
Mandara,Mabelreign Depot,North District,East,2023-02-24
Coronation Park,Ruwa Depot,Chitungwiza District,Harare,2023-07-18
Chikurubi,Borrowdale Depot,Chitungwiza District,Harare,2024-02-16
Parts of Unit K,Seke,East District,East,2023-10-21
Chishawasha,Kuwadzana Depot,Chitungwiza District,East,2023-08-01
Mandara,Borrowdale Depot,East District,Harare,2023-06-15
Pension Farm,Southerton Depot,East District,West,2024-01-16
22 Miles,Mabvuku Depot,Chitungwiza District,Harare,2023-02-26
Haig Park,Borrowdale Depot,Chitungwiza District,South,2023-07-01
Newlands,Zengeza Depot,North District,East,2023-06-10
Parkridge Estate,Kuwadzana Depot,South District,South,2023-11-20
Merwede,Ruwa Depot,East District,West,2023-06-11
"Murisa T/Ship, Dema",Ruwa Depot,North District,South,2023-01-24
"Seke Unit F, G Old",Zengeza Depot,South District,East,2023-05-20
Bordervale,Seke,Chitungwiza District,Harare,2023-02-03
Logan Park,Makoni Depot,North District,Harare,2023-03-29
Strathaven,Seke,South District,East,2024-02-17
Pension Farm,Borrowdale Depot,East District,Harare,2023-07-07
Monavale,Borrowdale Depot,South District,West,2023-05-14
Lincoln Green,Kuwadzana Depot,North District,West,2023-12-24
Dzivaresekwa,Waterfalls Depot,Chitungwiza District,West,2023-04-02
Widdecombe,Glen View Depot,Chitungwiza District,South,2023-09-19
Southern Granite,Kuwadzana Depot,East District,South,2023-10-13
Chishawasha,Makoni Depot,East District,Harare,2023-11-03
Groombridge,Kuwadzana Depot,South District,South,2023-02-27
Seki Rd N,Southerton Depot,South District,East,2023-10-20
Kambuzuma South,Glen View Depot,South District,Harare,2024-01-22
Helensvale S,Mabvuku Depot,Chitungwiza District,Harare,2023-01-22
Greengrove,Southerton Depot,East District,South,2023-12-14
Msasa Park,Glen View Depot,East District,South,2024-01-29
Glen Norah A - Part,Mabvuku Depot,Chitungwiza District,East,2023-05-24
Bonda Irrigation,Seke,Chitungwiza District,South,2023-03-08
Mt Pleasant & Heights,Glen View Depot,East District,East,2023-09-21
All of Masvingo Province,Kuwadzana Depot,Chitungwiza District,Harare,2023-08-04
Helensvale S,Southerton Depot,North District,Harare,2023-09-28
Southlea Park,Ruwa Depot,North District,East,2023-08-20
Adams Barracks,Mabelreign Depot,East District,South,2023-08-07
Mabelreign,Borrowdale Depot,North District,South,2023-05-22
Surface Investments,Kuwadzana Depot,Chitungwiza District,East,2023-06-09
Mandara,Waterfalls Depot,South District,Harare,2023-02-14
Crowborough Estate,Zengeza Depot,East District,Harare,2023-11-12
Kensington,Zengeza Depot,North District,West,2023-05-31
Manyame Park,Borrowdale Depot,South District,Harare,2023-03-11
Colne Valley,Glen View Depot,East District,South,2023-08-29
Uplands,Borrowdale Depot,East District,South,2024-02-26
"Seke Unit B, Makoni",Warren Park Depot,North District,West,2023-12-09
Cranborne Park,Seke,Chitungwiza District,East,2023-06-12
Winchdon,CBD Depot,North District,South,2024-01-01
Mufakose,CBD Depot,North District,East,2023-06-18
Rolf Valley N,Southerton Depot,East District,South,2023-04-05
Avondale West,Zengeza Depot,Chitungwiza District,East,2023-12-14
Langford Farm,Zengeza Depot,Chitungwiza District,Harare,2023-06-22
Avonlea - Part,CBD Depot,North District,West,2023-09-29
Rolf Valley N,Makoni Depot,Chitungwiza District,East,2023-02-20
Warren Park - Part,Warren Park Depot,Chitungwiza District,South,2023-07-21
Mt Pleasant & Heights,Waterfalls Depot,Chitungwiza District,West,2023-04-15
3-2 Battalion,Mabelreign Depot,North District,Harare,2023-12-04
Old Highfields,Glen View Depot,Chitungwiza District,East,2023-09-03
Twentydales Ext.,CBD Depot,South District,South,2023-12-24
Chadcombe,CBD Depot,Chitungwiza District,East,2023-02-03
Komani,CBD Depot,North District,West,2023-11-18
Mutare Rd,Kuwadzana Depot,East District,Harare,2023-02-14
Crowborough,Warren Park Depot,South District,South,2023-09-19
Mayambara,Warren Park Depot,Chitungwiza District,South,2023-03-18
Surface Investments,Kuwadzana Depot,Chitungwiza District,Harare,2024-01-03
Luna,Southerton Depot,East District,South,2023-05-01
Alex Park - Part,CBD Depot,East District,East,2023-06-03
Burma Valley,Makoni Depot,North District,South,2023-06-14
Malvern,Warren Park Depot,North District,Harare,2023-09-11
Kingsmead,Makoni Depot,North District,Harare,2023-10-30
Glen Wood,Mabvuku Depot,North District,South,2023-01-02
Crowhill,Borrowdale Depot,Chitungwiza District,East,2023-06-05
Chishawasha,Warren Park Depot,North District,East,2023-02-27
Westlea,Southerton Depot,Chitungwiza District,Harare,2023-10-22
Quinnington S,Borrowdale Depot,East District,Harare,2023-03-27
Msasa Park,CBD Depot,North District,South,2023-05-11
Glen Wood,Kuwadzana Depot,North District,East,2023-06-05
Avenues,Warren Park Depot,South District,East,2023-11-21
Rhodesville,CBD Depot,South District,East,2023-04-26
Bikita,Borrowdale Depot,East District,South,2023-09-07
Bannockburn,Borrowdale Depot,South District,East,2023-12-28
Bangazani Dam,Mabvuku Depot,Chitungwiza District,Harare,2024-01-19
Westlea,Waterfalls Depot,North District,West,2023-03-08
Rolf Valley N,CBD Depot,Chitungwiza District,Harare,2023-12-28
Glenview - Part,CBD Depot,East District,South,2023-10-30
Mbare,Ruwa Depot,South District,West,2023-09-03
Eastlea,Mabvuku Depot,North District,Harare,2023-01-10
4 Brigade,Zengeza Depot,Chitungwiza District,South,2024-01-21
Parktown,Waterfalls Depot,Chitungwiza District,West,2023-08-07
Southern Granite,Zengeza Depot,South District,South,2023-08-31
Ridgeview,Waterfalls Depot,East District,Harare,2023-12-16
Marlborough,Warren Park Depot,Chitungwiza District,West,2023-11-08
St Mary’s,Kuwadzana Depot,South District,Harare,2023-07-29
Bangazani Dam,Southerton Depot,North District,South,2023-07-26
Bordervale,Southerton Depot,East District,West,2023-07-30
Little Norfolk,Kuwadzana Depot,North District,Harare,2023-11-01
Wilmington Park,Warren Park Depot,Chitungwiza District,Harare,2023-06-28
GDC,Glen View Depot,Chitungwiza District,South,2023-10-26
Little Norfolk,CBD Depot,South District,South,2024-01-24
Highlands - Part,Makoni Depot,North District,East,2023-05-13
Mandara,Mabelreign Depot,North District,East,2023-11-25
Coronation Park,Ruwa Depot,Chitungwiza District,Harare,2023-05-04
Chikurubi,Borrowdale Depot,Chitungwiza District,Harare,2024-02-13
Parts of Unit K,Seke,East District,East,2024-01-31
Chishawasha,Kuwadzana Depot,Chitungwiza District,East,2023-05-20
Mandara,Borrowdale Depot,East District,Harare,2023-06-13
Pension Farm,Southerton Depot,East District,West,2023-11-03
22 Miles,Mabvuku Depot,Chitungwiza District,Harare,2023-10-10
Haig Park,Borrowdale Depot,Chitungwiza District,South,2023-06-11
Newlands,Zengeza Depot,North District,East,2023-07-10
Parkridge Estate,Kuwadzana Depot,South District,South,2023-05-19
Merwede,Ruwa Depot,East District,West,2023-03-30
"Murisa T/Ship, Dema",Ruwa Depot,North District,South,2023-04-25
"Seke Unit F, G Old",Zengeza Depot,South District,East,2023-09-04
Bordervale,Seke,Chitungwiza District,Harare,2023-03-08
Logan Park,Makoni Depot,North District,Harare,2023-01-31
Strathaven,Seke,South District,East,2023-10-10
Pension Farm,Borrowdale Depot,East District,Harare,2023-06-29
Monavale,Borrowdale Depot,South District,West,2023-07-02
Lincoln Green,Kuwadzana Depot,North District,West,2023-12-09
Dzivaresekwa,Waterfalls Depot,Chitungwiza District,West,2023-05-03
Widdecombe,Glen View Depot,Chitungwiza District,South,2023-12-08
Southern Granite,Kuwadzana Depot,East District,South,2023-08-17
Chishawasha,Makoni Depot,East District,Harare,2023-06-27
Groombridge,Kuwadzana Depot,South District,South,2024-02-07
Seki Rd N,Southerton Depot,South District,East,2023-09-22
Kambuzuma South,Glen View Depot,South District,Harare,2023-02-11
Helensvale S,Mabvuku Depot,Chitungwiza District,Harare,2023-04-22
Greengrove,Southerton Depot,East District,South,2023-07-22
Msasa Park,Glen View Depot,East District,South,2023-07-13
Glen Norah A - Part,Mabvuku Depot,Chitungwiza District,East,2023-11-16
Bonda Irrigation,Seke,Chitungwiza District,South,2023-12-21
Mt Pleasant & Heights,Glen View Depot,East District,East,2023-11-11
All of Masvingo Province,Kuwadzana Depot,Chitungwiza District,Harare,2023-10-18
Helensvale S,Southerton Depot,North District,Harare,2023-02-12
Southlea Park,Ruwa Depot,North District,East,2024-02-19
Adams Barracks,Mabelreign Depot,East District,South,2023-03-05
Mabelreign,Borrowdale Depot,North District,South,2023-08-24
Surface Investments,Kuwadzana Depot,Chitungwiza District,East,2023-05-13
Mandara,Waterfalls Depot,South District,Harare,2023-04-28
Crowborough Estate,Zengeza Depot,East District,Harare,2023-04-30
Kensington,Zengeza Depot,North District,West,2023-03-20
Manyame Park,Borrowdale Depot,South District,Harare,2023-04-08
Colne Valley,Glen View Depot,East District,South,2023-12-06
Uplands,Borrowdale Depot,East District,South,2023-11-25
"Seke Unit B, Makoni",Warren Park Depot,North District,West,2023-09-15
Cranborne Park,Seke,Chitungwiza District,East,2024-02-09
Winchdon,CBD Depot,North District,South,2023-04-16
Mufakose,CBD Depot,North District,East,2023-08-16
Rolf Valley N,Southerton Depot,East District,South,2023-08-11
Avondale West,Zengeza Depot,Chitungwiza District,East,2023-04-15
Langford Farm,Zengeza Depot,Chitungwiza District,Harare,2023-10-17
Avonlea - Part,CBD Depot,North District,West,2023-10-14
Rolf Valley N,Makoni Depot,Chitungwiza District,East,2023-10-24
Warren Park - Part,Warren Park Depot,Chitungwiza District,South,2023-10-20
Mt Pleasant & Heights,Waterfalls Depot,Chitungwiza District,West,2023-04-05
3-2 Battalion,Mabelreign Depot,North District,Harare,2023-07-12
Old Highfields,Glen View Depot,Chitungwiza District,East,2023-10-31
Twentydales Ext.,CBD Depot,South District,South,2023-11-02
Chadcombe,CBD Depot,Chitungwiza District,East,2023-07-21
Komani,CBD Depot,North District,West,2023-08-25
Mutare Rd,Kuwadzana Depot,East District,Harare,2023-11-29
Crowborough,Warren Park Depot,South District,South,2023-09-19
Mayambara,Warren Park Depot,Chitungwiza District,South,2024-03-04
Surface Investments,Kuwadzana Depot,Chitungwiza District,Harare,2023-08-26
Luna,Southerton Depot,East District,South,2023-08-07
Alex Park - Part,CBD Depot,East District,East,2023-05-26
Burma Valley,Makoni Depot,North District,South,2023-05-30
Malvern,Warren Park Depot,North District,Harare,2023-01-24
Kingsmead,Makoni Depot,North District,Harare,2023-12-10
Glen Wood,Mabvuku Depot,North District,South,2023-12-13
Crowhill,Borrowdale Depot,Chitungwiza District,East,2023-10-22
Chishawasha,Warren Park Depot,North District,East,2023-06-03
Westlea,Southerton Depot,Chitungwiza District,Harare,2023-05-15
Quinnington S,Borrowdale Depot,East District,Harare,2023-08-09
Msasa Park,CBD Depot,North District,South,2023-11-05
Glen Wood,Kuwadzana Depot,North District,East,2023-12-25
Avenues,Warren Park Depot,South District,East,2023-05-15
Rhodesville,CBD Depot,South District,East,2023-01-03
Bikita,Borrowdale Depot,East District,South,2023-10-25
Bannockburn,Borrowdale Depot,South District,East,2023-03-10
Bangazani Dam,Mabvuku Depot,Chitungwiza District,Harare,2023-07-24
Westlea,Waterfalls Depot,North District,West,2023-02-07
Rolf Valley N,CBD Depot,Chitungwiza District,Harare,2023-09-15
Glenview - Part,CBD Depot,East District,South,2024-02-04
Mbare,Ruwa Depot,South District,West,2024-02-11
Eastlea,Mabvuku Depot,North District,Harare,2023-09-15
4 Brigade,Zengeza Depot,Chitungwiza District,South,2023-03-10
Parktown,Waterfalls Depot,Chitungwiza District,West,2023-01-07
Southern Granite,Zengeza Depot,South District,South,2024-02-04
Ridgeview,Waterfalls Depot,East District,Harare,2023-11-11
Marlborough,Warren Park Depot,Chitungwiza District,West,2023-02-03
St Mary’s,Kuwadzana Depot,South District,Harare,2023-12-25
Bangazani Dam,Southerton Depot,North District,South,2023-08-16
Bordervale,Southerton Depot,East District,West,2023-04-21
Little Norfolk,Kuwadzana Depot,North District,Harare,2023-01-28
Wilmington Park,Warren Park Depot,Chitungwiza District,Harare,2023-02-19
GDC,Glen View Depot,Chitungwiza District,South,2024-02-22
Little Norfolk,CBD Depot,South District,South,2023-07-03
Highlands - Part,Makoni Depot,North District,East,2023-03-22
Mandara,Mabelreign Depot,North District,East,2023-05-05
Coronation Park,Ruwa Depot,Chitungwiza District,Harare,2023-04-26
Chikurubi,Borrowdale Depot,Chitungwiza District,Harare,2023-03-15
Parts of Unit K,Seke,East District,East,2023-10-17
Chishawasha,Kuwadzana Depot,Chitungwiza District,East,2023-09-16
Mandara,Borrowdale Depot,East District,Harare,2023-09-19
Pension Farm,Southerton Depot,East District,West,2023-10-22
22 Miles,Mabvuku Depot,Chitungwiza District,Harare,2023-05-04
Haig Park,Borrowdale Depot,Chitungwiza District,South,2023-09-01
Newlands,Zengeza Depot,North District,East,2023-10-19
Parkridge Estate,Kuwadzana Depot,South District,South,2023-06-01
Merwede,Ruwa Depot,East District,West,2023-08-21
"Murisa T/Ship, Dema",Ruwa Depot,North District,South,2023-01-31
"Seke Unit F, G Old",Zengeza Depot,South District,East,2023-09-14
Bordervale,Seke,Chitungwiza District,Harare,2024-02-06
Logan Park,Makoni Depot,North District,Harare,2023-11-07
Strathaven,Seke,South District,East,2023-05-15
Pension Farm,Borrowdale Depot,East District,Harare,2023-12-10
Monavale,Borrowdale Depot,South District,West,2023-03-21
Lincoln Green,Kuwadzana Depot,North District,West,2024-03-05
Dzivaresekwa,Waterfalls Depot,Chitungwiza District,West,2023-12-03
Widdecombe,Glen View Depot,Chitungwiza District,South,2023-09-05
Southern Granite,Kuwadzana Depot,East District,South,2023-10-06
Chishawasha,Makoni Depot,East District,Harare,2023-04-23
Groombridge,Kuwadzana Depot,South District,South,2023-09-19
Seki Rd N,Southerton Depot,South District,East,2024-01-19
Kambuzuma South,Glen View Depot,South District,Harare,2023-01-23
Helensvale S,Mabvuku Depot,Chitungwiza District,Harare,2023-05-02
Greengrove,Southerton Depot,East District,South,2023-05-22
Msasa Park,Glen View Depot,East District,South,2023-09-15
Glen Norah A - Part,Mabvuku Depot,Chitungwiza District,East,2023-09-09
Bonda Irrigation,Seke,Chitungwiza District,South,2023-08-29
Mt Pleasant & Heights,Glen View Depot,East District,East,2023-03-25
All of Masvingo Province,Kuwadzana Depot,Chitungwiza District,Harare,2023-01-14
Helensvale S,Southerton Depot,North District,Harare,2023-09-17
Southlea Park,Ruwa Depot,North District,East,2023-08-11
Adams Barracks,Mabelreign Depot,East District,South,2023-01-18
Mabelreign,Borrowdale Depot,North District,South,2023-01-27
Surface Investments,Kuwadzana Depot,Chitungwiza District,East,2024-01-15
Mandara,Waterfalls Depot,South District,Harare,2023-01-02
Crowborough Estate,Zengeza Depot,East District,Harare,2023-05-21
Kensington,Zengeza Depot,North District,West,2023-02-16
Manyame Park,Borrowdale Depot,South District,Harare,2024-01-28
Colne Valley,Glen View Depot,East District,South,2023-09-11
Uplands,Borrowdale Depot,East District,South,2023-03-15
"Seke Unit B, Makoni",Warren Park Depot,North District,West,2023-09-03
Cranborne Park,Seke,Chitungwiza District,East,2024-02-21
Winchdon,CBD Depot,North District,South,2023-10-28
Mufakose,CBD Depot,North District,East,2023-04-21
Rolf Valley N,Southerton Depot,East District,South,2023-11-21
Avondale West,Zengeza Depot,Chitungwiza District,East,2023-09-26
Langford Farm,Zengeza Depot,Chitungwiza District,Harare,2024-01-26
Avonlea - Part,CBD Depot,North District,West,2023-03-04
Rolf Valley N,Makoni Depot,Chitungwiza District,East,2024-01-24
Warren Park - Part,Warren Park Depot,Chitungwiza District,South,2023-04-17
Mt Pleasant & Heights,Waterfalls Depot,Chitungwiza District,West,2023-04-21
3-2 Battalion,Mabelreign Depot,North District,Harare,2023-12-23
Old Highfields,Glen View Depot,Chitungwiza District,East,2023-01-31
Twentydales Ext.,CBD Depot,South District,South,2023-08-16
Chadcombe,CBD Depot,Chitungwiza District,East,2024-01-04
Komani,CBD Depot,North District,West,2023-09-22
Mutare Rd,Kuwadzana Depot,East District,Harare,2023-09-08
Crowborough,Warren Park Depot,South District,South,2023-02-13
Mayambara,Warren Park Depot,Chitungwiza District,South,2023-11-29
Surface Investments,Kuwadzana Depot,Chitungwiza District,Harare,2024-01-05
Luna,Southerton Depot,East District,South,2023-05-22
Alex Park - Part,CBD Depot,East District,East,2023-10-02
Burma Valley,Makoni Depot,North District,South,2023-08-17
Malvern,Warren Park Depot,North District,Harare,2023-12-17
Kingsmead,Makoni Depot,North District,Harare,2024-01-04
Glen Wood,Mabvuku Depot,North District,South,2024-01-23
Crowhill,Borrowdale Depot,Chitungwiza District,East,2023-03-17
Chishawasha,Warren Park Depot,North District,East,2023-03-21
Westlea,Southerton Depot,Chitungwiza District,Harare,2023-01-18
Quinnington S,Borrowdale Depot,East District,Harare,2023-11-12
Msasa Park,CBD Depot,North District,South,2023-05-14
Glen Wood,Kuwadzana Depot,North District,East,2023-10-30
Avenues,Warren Park Depot,South District,East,2023-06-02
Rhodesville,CBD Depot,South District,East,2023-01-04
Bikita,Borrowdale Depot,East District,South,2023-11-28
Bannockburn,Borrowdale Depot,South District,East,2023-05-11
Bangazani Dam,Mabvuku Depot,Chitungwiza District,Harare,2023-05-25
Westlea,Waterfalls Depot,North District,West,2023-10-03
Rolf Valley N,CBD Depot,Chitungwiza District,Harare,2023-01-05
Glenview - Part,CBD Depot,East District,South,2024-02-21
Mbare,Ruwa Depot,South District,West,2023-04-04
Eastlea,Mabvuku Depot,North District,Harare,2023-05-15
4 Brigade,Zengeza Depot,Chitungwiza District,South,2023-03-14
Parktown,Waterfalls Depot,Chitungwiza District,West,2023-07-10
Southern Granite,Zengeza Depot,South District,South,2023-05-09
Ridgeview,Waterfalls Depot,East District,Harare,2023-11-13
Marlborough,Warren Park Depot,Chitungwiza District,West,2023-04-17
St Mary’s,Kuwadzana Depot,South District,Harare,2023-12-08
Bangazani Dam,Southerton Depot,North District,South,2023-08-18
Bordervale,Southerton Depot,East District,West,2023-06-30
Little Norfolk,Kuwadzana Depot,North District,Harare,2023-11-08
Wilmington Park,Warren Park Depot,Chitungwiza District,Harare,2023-12-27
GDC,Glen View Depot,Chitungwiza District,South,2023-04-02
Little Norfolk,CBD Depot,South District,South,2023-10-23
Highlands - Part,Makoni Depot,North District,East,2024-03-03
Mandara,Mabelreign Depot,North District,East,2023-03-10
Coronation Park,Ruwa Depot,Chitungwiza District,Harare,2023-12-15
Chikurubi,Borrowdale Depot,Chitungwiza District,Harare,2024-03-03
Parts of Unit K,Seke,East District,East,2023-03-06
Chishawasha,Kuwadzana Depot,Chitungwiza District,East,2024-02-05
Mandara,Borrowdale Depot,East District,Harare,2023-09-01
Pension Farm,Southerton Depot,East District,West,2023-01-05
22 Miles,Mabvuku Depot,Chitungwiza District,Harare,2023-08-05
Haig Park,Borrowdale Depot,Chitungwiza District,South,2023-08-09
Newlands,Zengeza Depot,North District,East,2024-01-28
Parkridge Estate,Kuwadzana Depot,South District,South,2023-01-09
Merwede,Ruwa Depot,East District,West,2023-02-02
"Murisa T/Ship, Dema",Ruwa Depot,North District,South,2023-07-24
"Seke Unit F, G Old",Zengeza Depot,South District,East,2023-06-17
Bordervale,Seke,Chitungwiza District,Harare,2024-02-07
Logan Park,Makoni Depot,North District,Harare,2023-02-01
Strathaven,Seke,South District,East,2023-11-17
Pension Farm,Borrowdale Depot,East District,Harare,2023-10-19
Monavale,Borrowdale Depot,South District,West,2024-02-11
Lincoln Green,Kuwadzana Depot,North District,West,2023-10-10
Dzivaresekwa,Waterfalls Depot,Chitungwiza District,West,2023-03-04
Widdecombe,Glen View Depot,Chitungwiza District,South,2023-04-15
Southern Granite,Kuwadzana Depot,East District,South,2024-01-31
Chishawasha,Makoni Depot,East District,Harare,2023-09-12
Groombridge,Kuwadzana Depot,South District,South,2023-11-19
Seki Rd N,Southerton Depot,South District,East,2023-11-26
Kambuzuma South,Glen View Depot,South District,Harare,2023-08-04
Helensvale S,Mabvuku Depot,Chitungwiza District,Harare,2023-12-02
Greengrove,Southerton Depot,East District,South,2023-12-29
Msasa Park,Glen View Depot,East District,South,2023-08-12
Glen Norah A - Part,Mabvuku Depot,Chitungwiza District,East,2023-01-09
Bonda Irrigation,Seke,Chitungwiza District,South,2023-03-27
Mt Pleasant & Heights,Glen View Depot,East District,East,2024-02-01
All of Masvingo Province,Kuwadzana Depot,Chitungwiza District,Harare,2023-04-06
Helensvale S,Southerton Depot,North District,Harare,2023-12-01
Southlea Park,Ruwa Depot,North District,East,2023-01-27
Adams Barracks,Mabelreign Depot,East District,South,2023-08-06
Mabelreign,Borrowdale Depot,North District,South,2024-02-19
Surface Investments,Kuwadzana Depot,Chitungwiza District,East,2023-09-05
Mandara,Waterfalls Depot,South District,Harare,2023-06-30
Crowborough Estate,Zengeza Depot,East District,Harare,2023-12-12
Kensington,Zengeza Depot,North District,West,2023-12-29
Manyame Park,Borrowdale Depot,South District,Harare,2023-05-22
Colne Valley,Glen View Depot,East District,South,2024-01-07
Uplands,Borrowdale Depot,East District,South,2023-12-07
"Seke Unit B, Makoni",Warren Park Depot,North District,West,2023-04-14
Cranborne Park,Seke,Chitungwiza District,East,2023-12-24
Winchdon,CBD Depot,North District,South,2023-04-11
Mufakose,CBD Depot,North District,East,2023-10-29
Rolf Valley N,Southerton Depot,East District,South,2023-08-11
Avondale West,Zengeza Depot,Chitungwiza District,East,2023-10-12
Langford Farm,Zengeza Depot,Chitungwiza District,Harare,2023-03-01
Avonlea - Part,CBD Depot,North District,West,2023-05-14
Rolf Valley N,Makoni Depot,Chitungwiza District,East,2023-04-29
Warren Park - Part,Warren Park Depot,Chitungwiza District,South,2023-01-23
Mt Pleasant & Heights,Waterfalls Depot,Chitungwiza District,West,2024-01-05
3-2 Battalion,Mabelreign Depot,North District,Harare,2023-12-25
Old Highfields,Glen View Depot,Chitungwiza District,East,2023-06-04
Twentydales Ext.,CBD Depot,South District,South,2023-03-01
Chadcombe,CBD Depot,Chitungwiza District,East,2023-05-22
Komani,CBD Depot,North District,West,2024-01-29
Mutare Rd,Kuwadzana Depot,East District,Harare,2023-05-10
Crowborough,Warren Park Depot,South District,South,2024-02-26
Mayambara,Warren Park Depot,Chitungwiza District,South,2023-10-28
Surface Investments,Kuwadzana Depot,Chitungwiza District,Harare,2023-09-07
Luna,Southerton Depot,East District,South,2023-12-26
Alex Park - Part,CBD Depot,East District,East,2023-12-28
Burma Valley,Makoni Depot,North District,South,2023-04-30
Malvern,Warren Park Depot,North District,Harare,2024-02-22
Kingsmead,Makoni Depot,North District,Harare,2023-06-23
Glen Wood,Mabvuku Depot,North District,South,2023-08-22
Crowhill,Borrowdale Depot,Chitungwiza District,East,2023-01-17
Chishawasha,Warren Park Depot,North District,East,2023-01-30
Westlea,Southerton Depot,Chitungwiza District,Harare,2023-10-12
Quinnington S,Borrowdale Depot,East District,Harare,2023-05-16
Msasa Park,CBD Depot,North District,South,2023-04-03
Glen Wood,Kuwadzana Depot,North District,East,2024-01-06
Avenues,Warren Park Depot,South District,East,2023-03-22
Rhodesville,CBD Depot,South District,East,2024-02-23
Bikita,Borrowdale Depot,East District,South,2023-09-12
Bannockburn,Borrowdale Depot,South District,East,2023-07-01
Bangazani Dam,Mabvuku Depot,Chitungwiza District,Harare,2023-08-04
Westlea,Waterfalls Depot,North District,West,2024-02-25
Rolf Valley N,CBD Depot,Chitungwiza District,Harare,2023-07-28
Glenview - Part,CBD Depot,East District,South,2023-09-01
Mbare,Ruwa Depot,South District,West,2023-12-31
Eastlea,Mabvuku Depot,North District,Harare,2023-11-29
4 Brigade,Zengeza Depot,Chitungwiza District,South,2023-12-11
Parktown,Waterfalls Depot,Chitungwiza District,West,2023-03-15
Southern Granite,Zengeza Depot,South District,South,2023-04-07
Ridgeview,Waterfalls Depot,East District,Harare,2023-01-09
Marlborough,Warren Park Depot,Chitungwiza District,West,2023-05-05
St Mary’s,Kuwadzana Depot,South District,Harare,2023-08-16
Bangazani Dam,Southerton Depot,North District,South,2023-01-01
Bordervale,Southerton Depot,East District,West,2023-11-25
Little Norfolk,Kuwadzana Depot,North District,Harare,2024-02-05
Wilmington Park,Warren Park Depot,Chitungwiza District,Harare,2023-10-18
GDC,Glen View Depot,Chitungwiza District,South,2023-05-01
Little Norfolk,CBD Depot,South District,South,2023-01-07
Highlands - Part,Makoni Depot,North District,East,2023-09-24
Mandara,Mabelreign Depot,North District,East,2023-08-19
