description,depot,district,region,created_at
Equipment failure,BYO EAST URBAN  DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2023-12-22
Short circuit,BROMLEY DEPOT,HWANGE DISTRICT,WESTERN REGION,2023-12-25
Short circuit,NEMBUDZIYA DEPOT,BINDURA  DISTRICT ,HARARE REGION,2023-12-17
Short circuit,GWANDA DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-01-05
Voltage fluctuation,MT DARWIN DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2023-12-23
Voltage fluctuation,RUSAPE  DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2023-12-10
Equipment failure,CHIMANIMANI  DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-01-05
Power outage,HWANGE DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2023-12-02
Power outage,RUTENGA  DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-01-08
Ground fault,RUSAPE  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2023-12-26
Short circuit,CONCESSION DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2023-12-22
Voltage fluctuation,GUTU  DEPOT,BYO EAST DISTRICT ,HARARE REGION,2023-12-04
Short circuit,KADOMA RURAL DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2023-12-24
Power outage,MVUMA DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2023-12-16
Short circuit,KUWADZANA DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2023-12-16
Ground fault,MUTARE URBAN  DEPOT,GWANDA DISTRICT,NORTHERN REGION,2023-12-18
Voltage fluctuation,BINGA DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2023-12-06
Power outage,MAKONI DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2023-12-04
Power outage,CHIREDZI  DEPOT,BINDURA  DISTRICT ,WESTERN REGION,2023-12-10
Equipment failure,MARONDERA RURAL DEPOT,HWANGE DISTRICT,HARARE REGION,2023-12-01
Power outage,MUTORASHANGA DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2023-12-09
Equipment failure,BORROWDALE DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2023-12-15
Equipment failure,CHEGUTU RURAL DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-01-06
Ground fault,CHIVHU DEPOT,MASVINGO DISTRICT ,HARARE REGION,2023-12-16
Voltage fluctuation,WARREN PARK DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2023-12-14
Voltage fluctuation,BYO EAST URBAN  DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2023-12-23
Voltage fluctuation,CHEGUTU RURAL DEPOT,KWEKWE DISTRICT ,SOUTHERN REGION,2024-01-08
Power outage,CBD DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2023-12-03
Circuit overload,PLUMTREE DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2023-12-25
Circuit overload,TURK MINE DEPOT,KADOMA DISTRICT ,EASTERN REGION,2023-12-26
Voltage fluctuation,MARONDERA RURAL DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2023-12-15
Ground fault,MT DARWIN DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2023-12-20
Short circuit,ZENGEZA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2023-12-08
Equipment failure,ENTUMBANE DEPOT,GWANDA DISTRICT,EASTERN REGION,2023-12-27
Voltage fluctuation,MAKONI DEPOT,GWERU DISTRICT ,WESTERN REGION,2023-12-01
Circuit overload,BULAWAYO ENVIRONS  DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2023-12-13
Equipment failure,CHIREDZI  DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2023-12-09
Voltage fluctuation,CENTENARY DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2023-12-03
Ground fault,CHINHOYI DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2023-12-03
Ground fault,CHINHOYI DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2023-12-02
Voltage fluctuation,MVUMA DEPOT,GWANDA DISTRICT,HARARE REGION,2024-01-01
Voltage fluctuation,CONCESSION DEPOT,KWEKWE DISTRICT ,SOUTHERN REGION,2023-12-24
Power outage,KWEKWE URBAN DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2023-12-18
Ground fault,JURU DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-01-04
Power outage,CHIMANIMANI  DEPOT,HR EAST DISTRICT,HARARE REGION,2023-12-19
Circuit overload,NKAYI DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2023-12-16
Power outage,PLUMTREE DEPOT,HR EAST DISTRICT,WESTERN REGION,2023-12-30
Short circuit,GUTU  DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2023-12-21
Ground fault,CHIVHU DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2023-12-28
Power outage,CHEGUTU DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-01-02
Equipment failure,GWERU URBAN DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-01-01
Equipment failure,RUSAPE  DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2023-12-13
Circuit overload,JURU DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-01-09
Short circuit,JURU DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-01-03
Voltage fluctuation,BROMLEY DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2023-12-13
Short circuit,BYO EAST URBAN  DEPOT,HR NORTH DISTRICT,WESTERN REGION,2023-12-27
Voltage fluctuation,ESIGODINI DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-01-06
Power outage,MUTORASHANGA DEPOT,HWANGE DISTRICT,HARARE REGION,2023-12-21
Circuit overload,GOKWE DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-01-06
Voltage fluctuation,NEMBUDZIYA DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2023-12-26
Equipment failure,GOKWE DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2023-12-02
Short circuit,SOUTHERTON DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2023-12-05
Voltage fluctuation,ZENGEZA DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-01-03
Voltage fluctuation,CHIREDZI  DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2023-12-05
Voltage fluctuation,CHIVHU DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-01-08
Equipment failure,KARIBA DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-01-03
Voltage fluctuation,FILABUSI DEPOT,HR NORTH DISTRICT,EASTERN REGION,2023-12-11
Power outage,SOUTHERTON DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2023-12-10
Voltage fluctuation,BORROWDALE DEPOT,MUTARE DISTRICT ,EASTERN REGION,2023-12-07
Circuit overload,BINDURA RURAL DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2023-12-07
Equipment failure,GUTU  DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2023-12-04
Ground fault,MASHAVA  DEPOT,GWERU DISTRICT ,EASTERN REGION,2023-12-21
Equipment failure,MATAGA DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2023-12-04
Circuit overload,BORROWDALE DEPOT,KWEKWE DISTRICT ,HARARE REGION,2023-12-17
Equipment failure,HWANGE DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2023-12-08
Equipment failure,ESIGODINI DEPOT,MARONDERA DISTRICT ,HARARE REGION,2023-12-26
Ground fault,CHEGUTU RURAL DEPOT,HR NORTH DISTRICT,HARARE REGION,2023-12-17
Circuit overload,CBD DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-01-06
Circuit overload,CHIMANIMANI  DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-01-04
Power outage,GWANDA DEPOT,HWANGE DISTRICT,EASTERN REGION,2023-12-29
