,document_id,pr_number,status,message
68,TD21122121,10221586,Failed,PR Object not found
69,TD21122126,10221587,Failed,PR Object not found
70,TD21122153,10213978,Failed,PR Object not found
71,TD21122165,10219298,Failed,PR Object not found
72,TD21122167,10212230,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
73,TD21122175,10210796,Failed,PR Object not found
74,TD21122311,10217151,Failed,PR Object not found
75,TD21122312,10218441,Failed,PR Object not found
76,TD21122337,10220714,Failed,PR Object not found
77,TD21122349,10222427,Failed,PR Object not found
78,TD21122351,10222427,Failed,PR Object not found
79,TD21122368,10217150,Failed,PR Object not found
80,TD21122378,10221102,Failed,PR Object not found
81,TD21122417,10222757,Failed,PR Object not found
82,TD21122422,10220770,Failed,PR Object not found
83,TD21122435,10221845,Failed,PR Object not found
84,TD2112245,10221361,Failed,PR Object not found
85,TD21122461,10222552,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
86,TD21122467,10220779,Failed,PR Object not found
87,TD21122471,10220779,Failed,PR Object not found
88,TD2112248,10222757,Failed,PR Object not found
89,TD21122495,10221844,Failed,PR Object not found
90,TD21122850,10222552,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
91,TD21122857,10222552,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
92,TD21123013,10208887,Failed,PR Object not found
93,TD21123014,10222789,Failed,PR Object not found
94,TD21123016,10222789,Failed,PR Object not found
95,TD21123017,10222789,Failed,PR Object not found
96,TD21123018,10222790,Failed,PR Object not found
97,TD2112302,10216732,Failed,PR Object not found
98,TD21123020,10208887,Failed,PR Object not found
99,TD21123024,10222791,Failed,PR Object not found
100,TD21123026,10222789,Failed,PR Object not found
101,TD21123029,10222828,Failed,PR Object not found
102,TD21123034,10222789,Failed,PR Object not found
103,TD21123036,10222788,Failed,PR Object not found
104,TD21123038,10222827,Failed,PR Object not found
105,TD21123050,10221559,Failed,PR Object not found
106,TD21123051,10221552,Failed,PR Object not found
107,TD21123057,10222551,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
108,TD21123059,10216819,Failed,PR Object not found
109,TD21123060,10221808,Failed,PR Object not found
110,TD21123064,10219699,Failed,PR Object not found
111,TD21123065,10221559,Failed,PR Object not found
112,TD21123071,10221566,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
113,TD21123072,10222789,Failed,PR Object not found
114,TD21123074,10211337,Failed,PR Object not found
115,TD21123075,10221536,Failed,PR Object not found
116,TD21123079,10212379,Failed,PR Object not found
117,TD2112308,10222787,Failed,PR Object not found
118,TD21123094,10220770,Failed,PR Object not found
119,TD21123163,10222179,Failed,PR Object not found
120,TD21123188,10222179,Failed,PR Object not found
121,TD22010317,10222917,Failed,PR Object not found
122,TD22010339,10220005,Failed,PR Object not found
123,TD22010358,10222721,Failed,PR Object not found
124,TD22010362,10222722,Failed,PR Object not found
125,TD2201041,10215670,Failed,PR Object not found
126,TD22010411,10215670,Failed,PR Object not found
127,TD22010422,10215670,Failed,PR Object not found
128,TD22010425,10215670,Failed,PR Object not found
129,TD22010426,10215670,Failed,PR Object not found
130,TD2201043,10215670,Failed,PR Object not found
131,TD22010434,10215670,Failed,PR Object not found
132,TD22010443,10215670,Failed,PR Object not found
133,TD22010444,10215670,Failed,PR Object not found
134,TD22010446,10215670,Failed,PR Object not found
135,TD22010449,10215670,Failed,PR Object not found
136,TD2201045,10215670,Failed,PR Object not found
137,TD22010460,10215670,Failed,PR Object not found
138,TD22010465,10215670,Failed,PR Object not found
139,TD22010467,10215670,Failed,PR Object not found
140,TD22010471,10215669,Failed,PR Object not found
141,TD2201049,10215670,Failed,PR Object not found
142,TD22010490,10215670,Failed,PR Object not found
143,TD22010493,10215670,Failed,PR Object not found
144,TD2201054,10214602,Failed,PR Object not found
145,TD22010594,10221943,Failed,PR Object not found
146,TD22010619,10218036,Failed,PR Object not found
147,TD22010623,10220205,Failed,PR Object not found
148,TD22010625,10221233,Failed,PR Object not found
149,TD22010628,10215932,Failed,PR Object not found
150,TD22010641,10222824,Failed,PR Object not found
151,TD2201066,10222179,Failed,PR Object not found
152,TD22010671,102113979,Failed,PR Object not found
153,TD22010675,10222826,Failed,PR Object not found
154,TD22010690,10222829,Failed,PR Object not found
155,TD22010694,10222179,Failed,PR Object not found
156,TD22010697,10218036,Failed,PR Object not found
157,TD22011087,10202034,Failed,PR Object not found
158,TD22011096,10220351,Failed,PR Object not found
159,TD22011113,10214813,Failed,PR Object not found
160,TD22011117,10223015,Failed,PR Object not found
161,TD22011122,10222987,Failed,PR Object not found
162,TD22011126,10223104,Failed,PR Object not found
163,TD22011130,10223106,Failed,PR Object not found
164,TD22011132,10223122,Failed,PR Object not found
165,TD22011142,10223124,Failed,PR Object not found
166,TD22011143,10223122,Failed,PR Object not found
167,TD22011149,10223103,Failed,PR Object not found
168,TD22011160,10223101,Failed,PR Object not found
169,TD22011162,10223103,Failed,PR Object not found
170,TD22011166,10223107,Failed,PR Object not found
171,TD22011172,10222723,Failed,PR Object not found
172,TD22011183,10223102,Failed,PR Object not found
173,TD22011185,10223102,Failed,PR Object not found
174,TD22011186,10223122,Failed,PR Object not found
175,TD22011195,10210968,Failed,Tender Update not found
176,TD22011196,10221337,Failed,PR Object not found
177,TD22011199,10223105,Failed,PR Object not found
178,TD22011224,10210968,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
179,TD22011233,10221361,Failed,PR Object not found
180,TD22011410,10223266,Failed,PR Object not found
181,TD22011435,10217363,Failed,PR Object not found
182,TD2201146,10223265,Failed,PR Object not found
183,TD22011746,10221539,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
184,TD22011763,10221538,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
185,TD22011765,10221535,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
186,TD22011793,10221537,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
187,TD22011821,10222580,Failed,PR Object not found
188,TD22011843,10222828,Failed,PR Object not found
189,TD22011868,10211674,Failed,PR Object not found
190,TD22011882,10221102,Failed,PR Object not found
191,TD22011884,10222537,Failed,PR Object not found
192,TD22012126,10223616,Failed,PR Object not found
193,TD22012434,10223981,Failed,PR Object not found
194,TD22012447,10223614,Failed,PR Object not found
195,TD22012448,10223985,Failed,PR Object not found
196,TD22012460,10221102,Failed,PR Object not found
197,TD22012461,10218052,Failed,PR Object not found
198,TD22012466,10223984,Failed,PR Object not found
199,TD22012469,10223984,Failed,PR Object not found
200,TD2201247,10223981,Failed,PR Object not found
201,TD22012475,10220954,Failed,PR Object not found
202,TD22012478,10223616,Failed,PR Object not found
203,TD22012483,10223045,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
204,TD22012495,10219969,Failed,PR Object not found
205,TD22012497,10224069,Failed,PR Object not found
206,TD22012678,10223344,Failed,PR Object not found
207,TD22012739,10220954,Failed,PR Object not found
208,TD22012761,10223350,Failed,PR Object not found
209,TD22012786,10222722,Failed,PR Object not found
210,TD22012797,10222721,Failed,PR Object not found
211,TD22012831,10221723,Failed,PR Object not found
212,TD22012832,10223616,Failed,PR Object not found
213,TD22012914,10223609,Failed,PR Object not found
214,TD22012916,10223425,Failed,PR Object not found
215,TD22012924,10223355,Failed,PR Object not found
216,TD22012937,10223420,Failed,PR Object not found
217,TD22012941,10223425,Failed,PR Object not found
218,TD22012959,10223424,Failed,PR Object not found
219,TD22012973,10223467,Failed,PR Object not found
220,TD22012974,10223424,Failed,PR Object not found
221,TD22012986,10223420,Failed,PR Object not found
222,TD22013011,10223523,Failed,Tender Update not found
223,TD22013018,10223523,Failed,Tender Update not found
224,TD22013021,10223523,Failed,Tender Update not found
225,TD22013024,10202263,Failed,PR Object not found
226,TD22013029,10124552,Failed,PR Object not found
227,TD2201303,10223344,Failed,PR Object not found
228,TD22013030,10223348,Failed,PR Object not found
229,TD22013035,10224219,Failed,PR Object not found
230,TD22013040,10223523,Failed,Tender Update not found
231,TD22013043,10223442,Failed,PR Object not found
232,TD22013049,10223426,Failed,PR Object not found
233,TD22013050,10221374,Failed,PR Object not found
234,TD22013056,10223345,Failed,PR Object not found
235,TD22013057,10223483,Failed,PR Object not found
236,TD22013059,10223523,Failed,Tender Update not found
237,TD22013060,10224129,Failed,PR Object not found
238,TD22013061,10221958,Failed,PR Object not found
239,TD22013067,10223523,Failed,Tender Update not found
240,TD22013068,10223613,Failed,PR Object not found
241,TD22013077,10223523,Failed,Tender Update not found
242,TD22013079,10222574,Failed,PR Object not found
243,TD2201308,10223086,Failed,PR Object not found
244,TD22013080,10223340,Failed,PR Object not found
245,TD22013085,10223523,Failed,Tender Update not found
246,TD2201309,10224163,Failed,PR Object not found
247,TD22013091,10224165,Failed,PR Object not found
248,TD22013093,10224130,Failed,PR Object not found
249,TD22013096,10223523,Failed,Tender Update not found
250,TD22013097,10224130,Failed,PR Object not found
251,TD22013098,10223062,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
252,TD2201311,10223350,Failed,PR Object not found
253,TD22013114,10222802,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
254,TD22013120,10224190,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
255,TD22013128,10223967,Failed,PR Object not found
256,TD22013130,10224191,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
257,TD22013134,10222803,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
258,TD2201315,10223967,Failed,PR Object not found
259,TD22013167,10223345,Failed,PR Object not found
260,TD22013171,10223611,Failed,PR Object not found
261,TD22013183,10221587,Failed,PR Object not found
262,TD2201319,10223725,Failed,PR Object not found
263,TD22020122,10223418,Failed,PR Object not found
264,TD2202013,10223721,Failed,PR Object not found
265,TD22020130,10224125,Failed,PR Object not found
266,TD22020141,10223344,Failed,PR Object not found
267,TD22020142,10223723,Failed,PR Object not found
268,TD22020145,10223722,Failed,PR Object not found
269,TD22020162,10223350,Failed,PR Object not found
270,TD22020163,10223718,Failed,PR Object not found
271,TD22020167,10223725,Failed,PR Object not found
272,TD22020170,10223724,Failed,PR Object not found
273,TD22020171,10223478,Failed,PR Object not found
274,TD22020176,10223426,Failed,PR Object not found
275,TD22020185,10223723,Failed,PR Object not found
276,TD2202019,10223478,Failed,PR Object not found
277,TD22020199,10223354,Failed,PR Object not found
278,TD22020215,10223757,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
279,TD22020219,10224130,Failed,PR Object not found
280,TD22020220,10224487,Failed,PR Object not found
281,TD22020223,10223720,Failed,PR Object not found
282,TD22020232,10224492,Failed,PR Object not found
283,TD22020236,10224490,Failed,PR Object not found
284,TD2202024,10224489,Failed,PR Object not found
285,TD22020242,10223720,Failed,PR Object not found
286,TD22020245,10212230,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
287,TD22020246,10223101,Failed,PR Object not found
288,TD22020248,10223610,Failed,PR Object not found
289,TD22020250,10223466,Failed,PR Object not found
290,TD22020255,10223102,Failed,PR Object not found
291,TD22020264,10223455,Failed,PR Object not found
292,TD22020266,10223981,Failed,PR Object not found
293,TD22020267,10223466,Failed,PR Object not found
294,TD22020269,10224130,Failed,PR Object not found
295,TD22020273,10124552,Failed,PR Object not found
296,TD22020279,10223418,Failed,PR Object not found
297,TD22020284,10224128,Failed,PR Object not found
298,TD22020286,10223968,Failed,PR Object not found
299,TD22020294,10223610,Failed,PR Object not found
300,TD22020295,10223795,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
301,TD22020297,10211674,Failed,PR Object not found
302,TD22020314,10223459,Failed,PR Object not found
303,TD22020316,10223728,Failed,PR Object not found
304,TD22020317,10223731,Failed,PR Object not found
305,TD22020320,10223720,Failed,PR Object not found
306,TD22020328,10223728,Failed,PR Object not found
307,TD22020338,10224493,Failed,PR Object not found
308,TD22020348,10223422,Failed,PR Object not found
309,TD22020354,10223476,Failed,PR Object not found
310,TD22020362,10223474,Failed,PR Object not found
311,TD2202038,10224495,Failed,PR Object not found
312,TD22020387,10223727,Failed,PR Object not found
313,TD22020395,10223716,Failed,PR Object not found
314,TD2202041,10223726,Failed,PR Object not found
315,TD22020420,10223710,Failed,PR Object not found
316,TD22020430,10223715,Failed,PR Object not found
317,TD22020435,10223713,Failed,PR Object not found
318,TD22020443,10223523,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
319,TD22020454,10223708,Failed,PR Object not found
320,TD22020455,10223714,Failed,PR Object not found
321,TD22020456,10224699,Failed,PR Object not found
322,TD22020460,10223483,Failed,PR Object not found
323,TD22020474,10223472,Failed,Tender Update not found
324,TD22020784,10223727,Failed,PR Object not found
325,TD22020785,10223474,Failed,PR Object not found
326,TD22020817,10223726,Failed,PR Object not found
327,TD22020821,10224699,Failed,PR Object not found
328,TD22020823,10223709,Failed,PR Object not found
329,TD22020824,101224280,Failed,PR Object not found
330,TD22020849,10223718,Failed,PR Object not found
331,TD22020851,10223719,Failed,PR Object not found
332,TD2202087,10224285,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
333,TD22020870,10224191,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
334,TD22020880,10210968,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
335,TD2202089,10224282,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
336,TD22020893,10224886,Failed,PR Object not found
337,TD22020894,10222715,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
338,TD22020895,10223711,Failed,PR Object not found
339,TD22020896,10223712,Failed,PR Object not found
340,TD22020911,10223058,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
341,TD22020921,10223462,Failed,PR Object not found
342,TD22020927,10223423,Failed,PR Object not found
343,TD22020933,10223059,Failed,Tender Update not found
344,TD22020939,10220209,Failed,PR Object not found
345,TD22020940,10223062,Failed,Tender Update not found
346,TD22020942,10221163,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
347,TD22020943,10223947,Failed,PR Object not found
348,TD22020951,10217536,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
349,TD22020954,10218925,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
350,TD2202096,10224127,Failed,PR Object not found
351,TD22020960,10224700,Failed,PR Object not found
352,TD22020977,10223062,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
353,TD22020979,10223866,Failed,PR Object not found
354,TD22020982,10223059,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
355,TD22020983,10224801,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
356,TD22020990,10223326,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
357,TD22020991,10223057,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
358,TD22020992,10223466,Failed,PR Object not found
359,TD22021419,10225310,Failed,PR Object not found
360,TD22021442,10225309,Failed,PR Object not found
361,TD22021480,10225204,Failed,PR Object not found
362,TD22021482,10225205,Failed,PR Object not found
363,TD22021485,10225311,Failed,PR Object not found
364,TD22021498,10223718,Failed,PR Object not found
365,TD22021533,10223443,Failed,PR Object not found
366,TD22021551,10224961,Failed,PR Object not found
367,TD2202156,10224956,Failed,PR Object not found
368,TD22021574,10223462,Failed,PR Object not found
369,TD22021640,10223718,Failed,PR Object not found
370,TD22021697,10223718,Failed,PR Object not found
371,TD22021718,10224446,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
372,TD22021728,10224517,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
373,TD22021814,10220401,Failed,PR Object not found
374,TD22021862,10223718,Failed,PR Object not found
375,TD22022066,10223424,Failed,PR Object not found
376,TD22022183,10224959,Failed,PR Object not found
377,TD22022311,10225382,Failed,PR Object not found
378,TD22022320,10225383,Failed,PR Object not found
379,TD22022322,10221349,Failed,PR Object not found
380,TD22022326,10225499,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
381,TD22022330,10221278,Failed,PR Object not found
382,TD22022331,10224961,Failed,PR Object not found
383,TD22022353,10222548,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
384,TD22022360,10223914,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
385,TD22022370,10221342,Failed,PR Object not found
386,TD22022379,10225094,Failed,PR Object not found
387,TD22022383,10224954,Failed,PR Object not found
388,TD22022390,10224988,Failed,PR Object not found
389,TD22022416,10223948,Failed,PR Object not found
390,TD22022429,10224527,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
391,TD22022437,10221723,Failed,PR Object not found
392,TD2202244,10225399,Failed,Tender Update not found
393,TD22022450,10224830,Failed,PR Object not found
394,TD2202246,10222925,Failed,Tender Update not found
395,TD22022483,10223948,Failed,PR Object not found
396,TD22022488,10220351,Failed,PR Object not found
397,TD22022517,10226040,Failed,PR Object not found
398,TD22022539,10223443,Failed,PR Object not found
399,TD22022541,10223443,Failed,PR Object not found
400,TD22022544,10225015,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
401,TD2202256,10225015,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
402,TD22022590,10220351,Failed,PR Object not found
403,TD22030111,10223604,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
404,TD22030119,10223191,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
405,TD22030121,10226101,Failed,PR Object not found
406,TD22030135,10223604,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
407,TD22030147,10223604,Failed,Tender Update not found
408,TD22030164,10222316,Failed,PR Object not found
409,TD22030166,10222777,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
410,TD22030172,10222925,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
411,TD22030178,10225622,Failed,PR Object not found
412,TD2203018,10225399,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
413,TD22030187,10226012,Failed,PR Object not found
414,TD22030195,10223443,Failed,PR Object not found
415,TD22030210,10223060,Failed,PR Object not found
416,TD22030236,10223732,Failed,PR Object not found
417,TD22030252,10223733,Failed,PR Object not found
418,TD22030330,10223602,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
419,TD2203034,10226027,Failed,PR Object not found
420,TD22030379,10223040,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
421,TD22030382,10226026,Failed,PR Object not found
422,TD22030431,10224986,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
423,TD22030441,10224983,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
424,TD22030446,10210054,Failed,PR Object not found
425,TD22030448,10223443,Failed,PR Object not found
426,TD22030451,10223443,Failed,PR Object not found
427,TD22030463,10216906,Failed,PR Object not found
428,TD22030475,10222922,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
429,TD22030477,10223443,Failed,PR Object not found
430,TD22030715,10224985,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
431,TD22030716,10226100,Failed,PR Object not found
432,TD22030725,10224966,Failed,PR Object not found
433,TD22030730,10226352,Failed,PR Object not found
434,TD22030732,10225627,Failed,Tender Update not found
435,TD22030733,10226025,Failed,PR Object not found
436,TD22030737,10225627,Failed,Tender Update not found
437,TD22030741,10225310,Failed,PR Object not found
438,TD22030742,10221537,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
439,TD22030743,10216906,Failed,PR Object not found
440,TD22030745,10225635,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
441,TD22030754,10226098,Failed,PR Object not found
442,TD22030755,10221539,Failed,Tender Update not found
443,TD22030758,10221539,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
444,TD22030759,10225625,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
445,TD2203077,10224989,Failed,Tender Update not found
446,TD22030773,10225086,Failed,PR Object not found
447,TD22030774,10222890,Failed,PR Object not found
448,TD22030775,10225627,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
449,TD22030786,10224989,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
450,TD22030789,10226260,Failed,PR Object not found
451,TD22030791,10225310,Failed,PR Object not found
452,TD22030794,10225399,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
453,TD22030795,10225627,Failed,Tender Update not found
454,TD22030796,10223420,Failed,PR Object not found
455,TD2203081,10223717,Failed,PR Object not found
456,TD22030811,10223462,Failed,PR Object not found
457,TD2203082,10210054,Failed,PR Object not found
458,TD22030835,10223462,Failed,PR Object not found
459,TD22030838,10223426,Failed,PR Object not found
460,TD22030843,10226352,Failed,PR Object not found
461,TD2203085,10223717,Failed,PR Object not found
462,TD22030877,10223948,Failed,PR Object not found
463,TD22030890,10223730,Failed,PR Object not found
464,TD22030891,10223462,Failed,PR Object not found
465,TD22030899,10224490,Failed,PR Object not found
466,TD22030933,10224983,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
467,TD22030943,10223865,Failed,PR Object not found
468,TD2203095,10225399,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
469,TD22030978,10226025,Failed,PR Object not found
470,TD22031015,10225941,Failed,PR Object not found
471,TD22031026,10225940,Failed,PR Object not found
472,TD22031030,10226538,Failed,PR Object not found
473,TD22031035,10226557,Failed,PR Object not found
474,TD22031036,10226853,Failed,PR Object not found
475,TD22031037,10226623,Failed,PR Object not found
476,TD22031061,10224490,Failed,PR Object not found
477,TD22031071,10217630,Failed,PR Object not found
478,TD22031072,10221539,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
479,TD22031074,10225940,Failed,PR Object not found
480,TD22031081,10226855,Failed,PR Object not found
481,TD22031085,10226538,Failed,PR Object not found
482,TD22031088,10226855,Failed,PR Object not found
483,TD22031098,10225570,Failed,PR Object not found
484,TD22031099,10226259,Failed,PR Object not found
485,TD22031112,10226517,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
486,TD22031128,10226283,Failed,PR Object not found
487,TD22031132,10226412,Failed,PR Object not found
488,TD22031146,10226284,Failed,PR Object not found
489,TD22031147,10226088,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
490,TD22031148,10216908,Failed,PR Object not found
491,TD22031153,10226544,Failed,PR Object not found
492,TD22031155,10220217,Failed,PR Object not found
493,TD22031157,10226282,Failed,PR Object not found
494,TD2203116,10223472,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
495,TD22031161,10226096,Failed,PR Object not found
496,TD22031166,10226544,Failed,PR Object not found
497,TD22031167,10226628,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
498,TD22031169,10225064,Failed,PR Object not found
499,TD22031172,10226411,Failed,PR Object not found
500,TD22031180,10226282,Failed,PR Object not found
501,TD22031181,10226365,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
502,TD2203119,10216926,Failed,PR Object not found
503,TD22031191,10224743,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
504,TD22031196,10226558,Failed,PR Object not found
505,TD22031490,10219597,Failed,PR Object not found
506,TD22031494,10224743,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
507,TD2203153,10226088,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
508,TD22031582,10222922,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
509,TD22031717,10226192,Failed,PR Object not found
510,TD2203172,10226281,Failed,PR Object not found
511,TD22031729,10226144,Failed,Tender Update not found
512,TD22031795,10226192,Failed,PR Object not found
513,TD2203181,10221342,Failed,PR Object not found
514,TD22031817,10226677,Failed,PR Object not found
515,TD22031821,10226698,Failed,PR Object not found
516,TD22031829,10225063,Failed,PR Object not found
517,TD22031830,10207902,Failed,PR Object not found
518,TD22031833,10225075,Failed,PR Object not found
519,TD22031851,10226698,Failed,PR Object not found
520,TD22031858,10226677,Failed,PR Object not found
521,TD22031859,10226558,Failed,PR Object not found
522,TD22031864,10226314,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
523,TD22031881,10226278,Failed,PR Object not found
524,TD22031889,10226780,Failed,PR Object not found
525,TD22031890,10226780,Failed,PR Object not found
526,TD22031892,10226775,Failed,PR Object not found
527,TD2203213,10227232,Failed,PR Object not found
528,TD22032173,10227230,Failed,PR Object not found
529,TD22032189,10227232,Failed,PR Object not found
530,TD22032213,10226061,Failed,Tender Update not found
531,TD22032225,10227230,Failed,PR Object not found
532,TD22032245,10226780,Failed,PR Object not found
533,TD22032268,10221539,Failed,"(1048, ""Column 'proc_plan_id' cannot be null"")"
534,TD22032271,10227230,Failed,PR Object not found
