"adjid","status1","section_code1","update_user1","status2","status3","status4","status5","update_user2","update_user3","update_user4","update_user5","section_code2","section_code3","section_code4","section_code5","id","update_date1","update_date2","update_date3","update_date4","checked","checked_by","check_date","reason","reason_1","reason_2","reason_3","reason_4","order_status","order_number","payment_status","grn_delivery_status","grn_status"
"D21112623","1","524401","ze34045","1","0","0","0","ze267562"," "," "," "," "," "," "," ","139","2021-12-09 10:07:56","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","use petty cash"," "," "," ","0",,,,"0"
"D21112957","1","524401","ze38466","2","3","4","5","ze267562","ze263567","ze301736","ze043110"," "," "," "," ","140","2021-11-30 15:36:35","2021-11-30 16:01:42","2021-12-14 12:59:10","2021-12-20 17:49:03","0"," ","0000-00-00 00:00:00"," "," ",,,,"0",,,,"0"
"D21112992","1","524401","ze38466","2","3","4","5","ze267562","ze263567","ze301736","ze043110"," "," "," "," ","141","2021-11-30 15:36:20","2021-11-30 15:50:54","2021-12-14 12:59:14","2021-12-20 17:48:51","0"," ","0000-00-00 00:00:00"," "," ",,,,"0",,,,"0"
"D2112016","1","524401","ze34045","1","0","0","0","ze267562"," "," "," "," "," "," "," ","142","2021-12-09 10:07:11","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","do petty cash"," "," "," ","0",,,,"0"
"D21121023","1","523001","ze293091","2","3","4","5","ze309702","ze233366","ze301736","ze043110"," "," "," "," ","145","2021-12-13 01:38:00","2021-12-14 11:15:17","2021-12-14 12:59:25","2021-12-20 17:48:36","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21121026","1","523001","ze347558","2","3","4","5","ze309702","ze233366","ze301736","ze043110"," "," "," "," ","147","2021-12-13 01:37:53","2021-12-14 11:15:13","2021-12-14 12:59:33","2021-12-20 17:48:21","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21121029","1","523001","ze293091","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","143","2021-12-13 01:38:08","2022-01-10 10:34:00","2022-01-10 10:58:11","2022-01-10 17:28:13","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21121060","1","523001","ze347558","2","3","4","5","ze309702","ze233366","ze301736","ze043110"," "," "," "," ","146","2021-12-13 01:38:21","2021-12-14 11:15:02","2021-12-14 12:59:30","2021-12-20 17:48:29","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21121080","1","523001","ze293091","2","3","4","5","ze309702","ze233366","ze301736","ze043110"," "," "," "," ","144","2021-12-13 01:38:04","2021-12-14 11:15:10","2021-12-14 12:59:21","2021-12-20 17:48:43","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D2112109","1","523001","ze347558","2","3","4","5","ze309702","ze233366","ze301736","ze043110"," "," "," "," ","148","2021-12-13 01:37:47","2021-12-14 11:14:51","2021-12-14 12:59:37","2021-12-20 17:48:11","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21122319","1","523001","ze293091","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","150","2021-12-23 10:00:23","2021-12-24 09:50:58","2021-12-28 10:23:12","2021-12-28 15:47:02","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D2112234","1","524202","ze257516","1","0","0","0","ze283266","ze263567"," "," "," "," "," "," ","152","2022-02-07 10:59:34","2022-01-10 10:32:27","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Refer Procurement Officer","is this the only agent"," "," ","0",,,,"0"
"D21122343","1","524202","ze257516","1","0","0","0","ze283266","ze263567"," "," "," "," "," "," ","151","2022-02-07 11:00:07","2022-01-10 10:34:12","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Refer Procurement Officer","is this the only agent"," "," ","0",,,,"0"
"D21122351","1","523001","ze293091","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","149","2021-12-23 10:00:32","2021-12-24 11:33:34","2021-12-28 10:22:35","2021-12-28 15:47:10","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21122948","1","523001","ze296538","1","0","0","0","ze309702","ze263567"," "," "," "," "," "," ","154","2022-12-05 20:00:15","2022-01-10 10:29:18","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","reject","cleaning and daily news quotes attached"," "," ","0",,,,"0"
"D21122956","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","153","2021-12-29 05:15:29","2022-01-10 10:27:34","2022-01-10 10:58:21","2022-01-10 17:28:07","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21123011","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","159","2021-12-30 10:02:53","2022-01-10 10:26:07","2022-01-10 10:59:38","2022-01-10 17:27:15","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21123013","1","523001","ze296538","1","0","0","0","ze309702","ze263567"," "," "," "," "," "," ","161","2022-12-05 20:00:04","2022-01-10 10:26:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","reject","wrong cost"," "," ","0",,,,"0"
"D21123025","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","160","2021-12-30 10:02:49","2022-01-10 10:30:13","2022-01-10 10:59:43","2022-01-10 17:27:02","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21123032","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","155","2021-12-30 10:03:11","2022-01-10 10:31:11","2022-01-10 10:58:27","2022-01-10 17:27:52","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D2112305","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","156","2021-12-30 10:03:06","2022-01-10 10:27:03","2022-01-10 10:58:34","2022-01-10 17:27:44","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21123062","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","158","2021-12-30 10:02:58","2022-01-10 10:26:50","2022-01-10 10:59:32","2022-01-10 17:27:26","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21123065","1","523001","ze296538","1","0","0","0","ze309702","ze263567"," "," "," "," "," "," ","162","2022-12-05 19:59:52","2022-01-10 10:25:35","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","reject","wrong cost"," "," ","0",,,,"0"
"D21123087","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","157","2021-12-30 10:03:02","2022-01-10 10:30:53","2022-01-10 10:59:24","2022-01-10 17:27:37","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21123192","1","523001","ze293091","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","163","2021-12-31 09:39:30","2022-01-10 12:17:14","2022-01-10 10:59:51","2022-01-10 17:26:55","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D22010692","1","523001","ze296538","1","0","0","0","ze309702"," "," "," "," "," "," "," ","164","2022-01-10 12:08:59","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Correct the price"," "," "," ","0",,,,"0"
"D22011056","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","165","2022-01-11 04:11:41","2022-01-12 08:44:13","2022-01-12 11:34:54","2022-01-13 10:44:42","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D22011110","1","523001","ze347558","1","0","0","0","ze309702","ze263567"," "," "," "," "," "," ","166","2022-12-05 19:59:41","2022-01-12 11:52:36","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","reject","Please correct description of items"," "," ","0",,,,"0"
"D22011122","1","524202","ze37540","2","3","4","5","ze257516","ze263567","ze301736","ze043110"," "," "," "," ","167","2022-01-11 12:37:01","2022-01-12 08:37:38","2022-01-12 11:35:15","2022-01-13 10:44:34","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D22011143","1","524202","ze37540","2","3","4","5","ze257516","ze263567","ze301736","ze043110"," "," "," "," ","168","2022-01-11 12:38:12","2022-01-12 08:36:44","2022-01-12 11:35:28","2022-01-13 10:43:50","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D22011294","1","524202","ze37540","2","0","0","0","ze257516"," "," "," "," "," "," "," ","169","2022-01-13 08:52:30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22011452","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","172","2022-01-17 03:46:36","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22011474","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","171","2022-01-17 03:46:46","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2201149","1","524202","ze37540","2","0","0","0","ze257516"," "," "," "," "," "," "," ","170","2022-01-19 09:03:29","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22011944","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","175","2022-01-19 10:54:29","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22011958","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","174","2022-01-19 10:54:34","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22011983","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","173","2022-01-19 10:54:38","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2201205","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","176","2022-01-20 09:48:12","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2201207","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","177","2022-01-20 09:48:08","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012511","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","184","2022-01-25 02:39:57","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012518","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","180","2022-01-25 02:40:10","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012525","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","181","2022-01-25 02:40:06","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012543","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","185","2022-01-25 02:39:51","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012544","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","179","2022-01-25 02:40:15","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012545","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","186","2022-01-25 02:39:47","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012568","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","188","2022-01-25 02:39:43","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2201257","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","190","2022-01-25 04:17:53","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012571","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","178","2022-01-25 02:40:19","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22012585","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","182","2022-01-25 02:40:01","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020253","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","192","2022-02-02 04:07:43","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020256","1","523001","ze296538","2","3","4","5","ze309702","ze261084","ze301736","ze043110"," "," "," "," ","191","2022-02-02 12:11:55","2022-02-07 14:01:07","2022-02-07 03:04:52","2022-02-11 16:17:26","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D22020329","1","523001","ze347558","2","0","0","0","ze309702"," "," "," "," "," "," "," ","194","2022-02-07 09:19:56","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020352","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","193","2022-02-07 09:20:02","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020415","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","196","2022-02-07 09:19:45","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020434","1","524702","ze226769","0","0","0","0"," "," "," "," "," "," "," "," ","197","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","1"," ","0000-00-00 00:00:00"," "," "," "," "," ","0",,,,"0"
"D22020489","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","195","2022-02-07 09:19:52","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020747","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","200","2022-02-08 08:54:08","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020749","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","199","2022-02-08 08:54:12","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22020750","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","198","2022-02-08 08:54:16","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22021112","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","202","2022-02-14 10:03:55","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22021139","1","524702","ze226769","0","0","0","0"," "," "," "," "," "," "," "," ","201","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","1"," ","0000-00-00 00:00:00"," "," "," "," "," ","0",,,,"0"
"D22021556","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","203","2022-02-15 04:18:25","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22022585","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","204","2022-02-28 03:47:44","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22022813","1","527001","ze42510","2","0","0","0","ze294136"," "," "," "," "," "," "," ","205","2022-03-01 06:49:54","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22022893","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","206","2022-03-01 09:59:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22030292","1","524401","ze38466","1","0","0","0","ze276111"," "," "," "," "," "," "," ","207","2022-03-07 14:07:26","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","attach signed documents"," "," "," ","0",,,,"0"
"D22030440","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","208","2022-03-07 09:07:02","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22030496","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","210","2022-03-07 09:06:57","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22030972","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","211","2022-03-09 02:58:20","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2203102","1","524401","ze38466","1","0","0","0","ze276111"," "," "," "," "," "," "," ","212","2022-03-11 09:03:13","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Put more details, for which section"," "," "," ","0",,,,"0"
"D22031413","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","214","2022-03-14 03:15:53","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2203143","1","523001","ze293091","1","0","0","0","ze309702"," "," "," "," "," "," "," ","217","2022-03-15 13:00:09","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","redo"," "," "," ","0",,,,"0"
"D22031446","1","523001","ze293091","1","0","0","0","ze309702"," "," "," "," "," "," "," ","215","2022-03-15 13:00:31","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","redo"," "," "," ","0",,,,"0"
"D22031467","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","213","2022-03-14 03:15:58","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22031471","1","523001","ze293091","1","0","0","0","ze309702"," "," "," "," "," "," "," ","218","2022-03-15 12:59:57","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","redo"," "," "," ","0",,,,"0"
"D22031484","1","523001","ze293091","1","0","0","0","ze309702"," "," "," "," "," "," "," ","216","2022-03-15 13:00:20","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","redo"," "," "," ","0",,,,"0"
"D22031524","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","221","2022-03-16 10:11:25","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2203156","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","220","2022-03-16 10:11:31","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22031577","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","219","2022-03-15 12:59:30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D2203158","1","523001","ze293091","2","0","0","0","ze309702"," "," "," "," "," "," "," ","223","2022-03-16 10:11:21","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032213","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","230","2022-03-29 09:14:59","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032215","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","226","2022-03-29 09:15:15","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032238","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","225","2022-03-29 09:15:19","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032242","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","224","2022-03-29 09:15:23","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032260","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","228","2022-03-29 09:15:07","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032268","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","229","2022-03-29 09:15:03","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032274","1","523001","ze296538","2","0","0","0","ze309702"," "," "," "," "," "," "," ","227","2022-03-29 09:15:12","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ",," "," "," ","0",,,,"0"
"D22032332","1","524604","ze261092","0","0","0","0"," "," "," "," "," "," "," "," ","231","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","ze283606","2022-09-13 19:35:54","old PR"," "," "," "," ","0",,,,"0"
