"document_id","supplier1","rfq_no","payment_terms1","bid_validity1","delivery_period1","technical_specifications1","valid_tax_clearance1","registered_with_praz1","tax_status1","site_visit_done1","samples_delivered1","decision1","total1","remarks1","supplier2","payment_terms2","bid_validity2","delivery_period2","decision2","total2","technical_specifications2","valid_tax_clearance2","registered_with_praz2","tax_status2","site_visit_done2","samples_delivered2","remarks2","supplier3","payment_terms3","bid_validity3","delivery_period3","technical_specifications3","valid_tax_clearance3","registered_with_praz3","tax_status3","site_visit_done3","samples_delivered3","decision3","total3","remarks3","supplier4","payment_terms4","bid_validity4","delivery_period4","technical_specifications4","valid_tax_clearance4","registered_with_praz4","tax_status4","site_visit_done4","samples_delivered4","decision4","total4","remarks4","supplier5","payment_terms5","bid_validity5","delivery_period5","technical_specifications5","valid_tax_clearance5","registered_with_praz5","tax_status5","site_visit_done5","samples_delivered5","decision5","total5","remarks5","supplier6","payment_terms6","bid_validity6","delivery_period6","technical_specifications6","valid_tax_clearance6","registered_with_praz6","tax_status6","site_visit_done6","samples_delivered6","decision6","total6","remarks6","supplier7","payment_terms7","bid_validity7","delivery_period7","technical_specifications7","valid_tax_clearance7","registered_with_praz7","tax_status7","site_visit_done7","samples_delivered7","decision7","total7","remarks7","supplier8","payment_terms8","bid_validity8","delivery_period8","technical_specifications8","valid_tax_clearance8","registered_with_praz8","tax_status8","site_visit_done8","samples_delivered8","decision8","total8","remarks8","supplier9","payment_terms9","bid_validity9","delivery_period9","technical_specifications9","valid_tax_clearance9","registered_with_praz9","tax_status9","site_visit_done9","samples_delivered9","decision9","total9","remarks9","supplier10","payment_terms10","bid_validity10","delivery_period10","technical_specifications10","valid_tax_clearance10","registered_with_praz10","tax_status10","site_visit_done10","samples_delivered10","decision10","total10","remarks10","supplier11","payment_terms11","bid_validity11","delivery_period11","technical_specifications11","valid_tax_clearance11","registered_with_praz11","tax_status11","site_visit_done11","samples_delivered11","decision11","total11","remarks11","supplier12","payment_terms12","bid_validity12","delivery_period12","technical_specifications12","valid_tax_clearance12","registered_with_praz12","tax_status12","site_visit_done12","samples_delivered12","decision12","total12","remarks12","supplier13","payment_terms13","bid_validity13","delivery_period13","technical_specifications13","valid_tax_clearance13","registered_with_praz13","tax_status13","site_visit_done13","samples_delivered13","decision13","total13","remarks13","supplier14","payment_terms14","bid_validity14","delivery_period14","technical_specifications14","valid_tax_clearance14","registered_with_praz14","tax_status14","site_visit_done14","samples_delivered14","decision14","total14","remarks14","supplier15","payment_terms15","bid_validity15","delivery_period15","technical_specifications15","valid_tax_clearance15","registered_with_praz15","tax_status15","site_visit_done15","samples_delivered15","decision15","total15","remarks15","supplier16","payment_terms16","bid_validity16","delivery_period16","technical_specifications16","valid_tax_clearance16","registered_with_praz16","tax_status16","site_visit_done16","samples_delivered16","decision16","total16","remarks16","supplier17","payment_terms17","bid_validity17","delivery_period17","technical_specifications17","valid_tax_clearance17","registered_with_praz17","tax_status17","site_visit_done17","samples_delivered17","decision17","total17","remarks17","supplier18","payment_terms18","bid_validity18","delivery_period18","technical_specifications18","valid_tax_clearance18","registered_with_praz18","tax_status18","site_visit_done18","samples_delivered18","decision18","total18","remarks18","supplier19","payment_terms19","bid_validity19","delivery_period19","technical_specifications19","valid_tax_clearance19","registered_with_praz19","tax_status19","site_visit_done19","samples_delivered19","decision19","total19","remarks19","supplier20","payment_terms20","bid_validity20","delivery_period20","technical_specifications20","valid_tax_clearance20","registered_with_praz20","tax_status20","site_visit_done20","samples_delivered20","decision20","total20","remarks20","supplier21","payment_terms21","bid_validity21","delivery_period21","technical_specifications21","valid_tax_clearance21","registered_with_praz21","tax_status21","site_visit_done21","samples_delivered21","decision21","total21","remarks21","supplier22","payment_terms22","bid_validity22","delivery_period22","technical_specifications22","valid_tax_clearance22","registered_with_praz22","tax_status22","site_visit_done22","samples_delivered22","decision22","total22","remarks22","supplier23","payment_terms23","bid_validity23","delivery_period23","technical_specifications23","valid_tax_clearance23","registered_with_praz23","tax_status23","site_visit_done23","samples_delivered23","decision23","total23","remarks23","supplier24","payment_terms24","bid_validity24","delivery_period24","technical_specifications24","valid_tax_clearance24","registered_with_praz24","tax_status24","site_visit_done24","samples_delivered24","decision24","total24","remarks24","supplier25","payment_terms25","bid_validity25","delivery_period25","technical_specifications25","valid_tax_clearance25","registered_with_praz25","tax_status25","site_visit_done25","samples_delivered25","decision25","total25","remarks25","supplier26","payment_terms26","bid_validity26","delivery_period26","technical_specifications26","valid_tax_clearance26","registered_with_praz26","tax_status26","site_visit_done26","samples_delivered26","decision26","total26","remarks26","supplier27","payment_terms27","bid_validity27","delivery_period27","technical_specifications27","valid_tax_clearance27","registered_with_praz27","tax_status27","site_visit_done27","samples_delivered27","decision27","total27","remarks27","supplier28","payment_terms28","bid_validity28","delivery_period28","technical_specifications28","valid_tax_clearance28","registered_with_praz28","tax_status28","site_visit_done28","samples_delivered28","decision28","total28","remarks28","supplier29","payment_terms29","bid_validity29","delivery_period29","technical_specifications29","valid_tax_clearance29","registered_with_praz29","tax_status29","site_visit_done29","samples_delivered29","decision29","total29","remarks29","supplier30","payment_terms30","bid_validity30","delivery_period30","technical_specifications30","valid_tax_clearance30","registered_with_praz30","tax_status30","site_visit_done30","samples_delivered30","decision30","total30","remarks30","status","user1","status_1","date_1","user2","status_2","date_2","user3","status_3","date_3","user4","status_4","date_4","user5","status_5","date_5","user6","status_6","date_6","user7","status_7","date_7","user8","status_8","date_8","user9","status_9","date_9","user10","status_10","date_10","finance_user","finance_status","finance_date","gm_user","gm_status","gm_date","recommendation","ranking1","ranking2","ranking3","ranking4","ranking5","order_number","reason_1","reason_2","reason_3","order_date","order_status","payment_status","grn_delivery_status","grn_status","site_visit_required","samples_required"
"TD22040194","PELOSH ENTERPRISES","10226453","on","on","on","on","on","on",,,,"on","2415000",,"SWORD WEAR","on","on","on","on","1724100","on","on","on",,,,,"TIT MOTOR SPARES","on",,,"on","on","on",,,,,"1746906",,"STANMEC INVESTMENTS","on","on","on","on","on","on",,,,"on","1550010",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","1","2022-04-05 14:24:25","ze325058","1","2022-04-04 08:17:56","ze261084","1","2022-04-01 21:46:16","ze243973","1","2022-04-06 07:47:11","ze263567","1","2022-04-08 08:14:15",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-08 11:19:51","ze043110","1","2022-04-12 07:46:46"," STANMEC INVESTMENTS being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$1550010 excluding VAT.","STANMEC INVESTMENTS","SWORD WEAR","PELOSH ENTERPRISES",,,,,,,"0000-00-00","0",,,"0","no","no"
"TD22040198","TIT MOTOR SPARES","10222529","on",,,"on","on","on",,,,,"1256850",,"PLENTHOPE ","on","on","on","on","2016000","on","on","on",,,,,"SWORD WEAR","on","on","on","on","on","on",,,,"on","2159640",,"GOLD THRONE","on","on","on","on","on","on",,,,"on","1133857.2",,"JAY JAY ENTERPRISES","on","on","on","on","on","on",,,,"on","1894200",,"VIDMAR INDUSTRIAL SUPPLIERS","on","on","on","on","on","on",,,,"on","2150400",,"DRUM CITY","on","on","on","on","on","on",,,,"on","779998.8",,"AMINA CAPITAL",,,,"on","on","on",,,,,"999600",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","1","2022-04-05 14:22:10","ze325058","1","2022-04-05 08:59:59","ze261084","1","2022-04-01 20:50:29","ze283266","1","2022-04-05 10:53:45","ze263567","1","2022-04-04 13:35:57",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-08 07:45:24","ze043110","1","2022-04-12 07:45:34"," DRUM CITY being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$779998.8 excluding VAT.","DRUM CITY","GOLD THRONE","JAY JAY ENTERPRISES","PLENTHOPE ","VIDMAR INDUSTRIAL SUPPLIERS",,,,,"0000-00-00","0",,,"0","no","no"
"TD22040414","SUNSHINE SPEED SHOP","10226412","on","on","on","on","on","on",,"on",,"on","59800",,"CHRIS & JACOB","on","on","on",,"41600","on","on","on",,,,,"PACEMASTERS PANEL BEATERS","on","on","on","on","on","on",,"on",,"on","180000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","2","2022-04-05 13:54:36","ze325058","0","0000-00-00 00:00:00","ze261084","1","2022-04-04 13:47:21","ze283266","1","2022-04-05 10:54:16","ze263567","0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"why rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
"TD2204042","SUNSHINE SPEED SHOP","10226211","on","on","on","on","on","on",,"on",,"on","59800",,"CHRIS & JACOB","on","on","on",,"41600","on","on","on",,,,,"PACEMASTERS PANEL BEATERS","on","on","on","on","on","on",,"on",,"on","180000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze277479","1","2022-04-22 05:37:54","ze325058","1","2022-04-16 07:48:54","ze261084","1","2022-04-04 14:15:21","ze283266","1","2022-04-05 10:54:35","ze263567","1","2022-04-19 07:33:19",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-22 15:11:06","ze043110","1","2022-04-25 16:09:39"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"reason for rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
"TD22040420","SUNSHINE SPEED SHOP","10226137","on","on","on","on","on","on",,"on",,"on","59800",,"PACEMASTERS PANEL BEATERS","on","on","on","on","180000","on","on","on",,"on",,,"CHRIS & JACOB","on","on","on","on","on","on",,,,,"41600",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze277479","1","2022-04-22 05:38:05","ze325058","1","2022-04-16 07:50:31","ze261084","1","2022-04-04 13:21:07","ze283266","1","2022-04-05 10:56:00","ze263567","1","2022-04-19 07:33:30",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-22 15:14:20","ze043110","1","2022-04-25 16:13:32"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"reason for rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
"TD22040429","FARNIC INVESTMENTS","10227455","on","on","on",,"on","on",,,,,"863040",,"MARKET PLAN ","on","on","on",,"1560000",,"on","on",,,,,"MILLY TAKE ENTERPRISES","on","on","on","on","on","on",,,,"on","2400000",,"HIGH COPY MANSION TECHNOLOGIES","on","on","on",,"on","on",,,,,"1120000",,"TOUCHSTONE INVESTMENTS","on","on","on","on","on","on",,,,"on","1310400",,,,,,,,,,,,,"838427.92",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze294136","1","2022-04-04 13:48:16","ze325058","1","2022-04-06 06:56:50","ze261084","1","2022-05-12 09:43:18","ze345024","1","2022-04-06 06:51:53","ze233366","1","2022-04-04 13:29:36",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-08 07:43:52","ze043110","1","2022-04-12 07:44:13"," TOUCHSTONE INVESTMENTS being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$838427.92 excluding VAT.","TOUCHSTONE INVESTMENTS","YELLOW PORTION INVESTMENTS","STAMAN INVESTMENTS",,,,,,,"0000-00-00","0",,,"0","no","no"
"TD22040434","SUNSHINE SPEED SHOP","10226144","on","on","on","on","on","on",,"on",,"on","59800",,"CHRIS & JACOB","on","on","on",,"41600","on","on","on",,,,,"PACEMASTERS PANEL BEATERS","on","on","on","on","on","on",,"on",,"on","180000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze277479","1","2022-04-22 05:38:15","ze325058","1","2022-04-16 07:51:07","ze261084","1","2022-04-04 09:35:32","ze283266","1","2022-04-05 10:56:17","ze263567","1","2022-04-19 07:34:35",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-22 15:16:51","ze043110","1","2022-04-25 16:14:10"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"Reason for rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
"TD22040438","SUNSHINE SPEED SHOP","10226177","on","on","on","on","on","on",,"on",,"on","59800",,"CHRIS & JACOB","on","on","on",,"41600","on","on","on",,,,,"PACEMASTERS PANEL BEATERS","on","on","on","on","on","on",,"on",,"on","180000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze277479","1","2022-04-22 05:38:24","ze325058","1","2022-04-16 07:51:52","ze261084","1","2022-04-04 13:54:33","ze283266","1","2022-04-05 10:56:31","ze263567","1","2022-04-19 07:33:43",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-22 15:16:38","ze043110","1","2022-04-25 16:15:24"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"Reason for rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
"TD22040440","SUNSHINE SPEED SHOP","10224743","on","on","on","on","on","on",,"on",,"on","59800",,"CHRIS & JACOB","on","on","on",,"41600","on","on","on",,,,,"PACEMASTERS PANEL BEATERS","on","on","on","on","on","on",,"on",,"on","180000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze277479","1","2022-04-22 05:38:33","ze325058","1","2022-04-16 07:52:30","ze261084","1","2022-04-04 14:01:39","ze283266","1","2022-04-05 10:56:45","ze263567","1","2022-04-19 07:29:48",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-22 15:16:28","ze043110","1","2022-04-25 16:15:42"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"Reason for rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
"TD22040459","SUSTAINABLE PROCUREMENT SOLUTIONS","10227454","on","on","on","on","on","on",,,,"on","2102620.05",,"YELLOW PORTION INVESTMENTS","on","on","on","on","1891500","on","on","on",,,,,"FARNIC INVESTMENTS","on","on","on",,"on","on",,,,,"2275620",,"LAST PACK TECHNOLOGY","on","on","on","on","on","on",,,,"on","2022000",,"MARKET PLAN ","on","on","on",,"on","on",,,,,"3862500",,"HIGH COPY MANSION TECHNOLOGIES","on","on","on",,"on","on",,,,,"7650",,"MILLY TAKE ENTERPRISES","on","on","on","on","on","on",,,,"on","9000000",,"TOUCHSTONE INVESTMENTS","on","on","on","on","on","on",,,,"on","0",,"STAMAN INVESTMENTS","on","on","on",,"on","on",,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze294136","1","2022-04-04 13:49:12","ze325058","1","2022-04-06 13:18:33","ze261084","1","2022-07-07 14:11:20","ze345024","1","2022-04-04 07:10:53","ze263567","1","2022-04-06 07:03:36",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-08 07:44:39","ze043110","1","2022-04-12 07:44:28"," SUPPLY RIDE INVESTMENTS being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$1891500 excluding VAT.","SUPPLY RIDE INVESTMENTS","SHELTECH COMPUTERS","TOUCHSTONE INVESTMENTS","CENTURY TECHNOLOGY","YELLOW PORTION INVESTMENTS",,,,,"0000-00-00","0",,,"0","no","no"
"TD22040471","SUNSHINE SPEED SHOP","10226178","on","on","on","on","on","on",,"on",,"on","59800",,"CHRIS & JACOB","on","on","on",,"41600","on","on","on",,,,,"PACEMASTERS PANEL BEATERS","on","on","on","on","on","on",,"on",,"on","180000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","1","2022-04-22 05:38:42","ze325058","1","2022-04-16 07:53:03","ze261084","1","2022-04-04 12:39:06","ze283266","1","2022-04-05 10:57:09","ze263567","1","2022-04-19 07:34:14",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2022-04-22 15:16:16","ze043110","1","2022-04-25 16:41:54"," SUNSHINE SPEED SHOP being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$59800 excluding VAT.","SUNSHINE SPEED SHOP","PACEMASTERS PANEL BEATERS",,,,,"reason for rejecting Chris and Jacobs",,,"0000-00-00","0",,,"0","yes","no"
